<https://secure.actblue.com/donate/jeannine-lake-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/jeannine-lake-1>; rel="self"; type="application/link-format"; from="Tue, 28 Aug 2018 15:06:18 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/jeannine-lake-1>; rel="timegate",
<http://web.archive.org/web/20180828150618/https://secure.actblue.com/donate/jeannine-lake-1>; rel="first memento"; datetime="Tue, 28 Aug 2018 15:06:18 GMT",
<http://web.archive.org/web/20190508051918/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Wed, 08 May 2019 05:19:18 GMT",
<http://web.archive.org/web/20190508104443/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Wed, 08 May 2019 10:44:43 GMT",
<http://web.archive.org/web/20200215074419/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sat, 15 Feb 2020 07:44:19 GMT",
<http://web.archive.org/web/20200802154401/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sun, 02 Aug 2020 15:44:01 GMT",
<http://web.archive.org/web/20200807030812/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Fri, 07 Aug 2020 03:08:12 GMT",
<http://web.archive.org/web/20200814081707/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Fri, 14 Aug 2020 08:17:07 GMT",
<http://web.archive.org/web/20200927082617/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sun, 27 Sep 2020 08:26:17 GMT",
<http://web.archive.org/web/20200927163051/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sun, 27 Sep 2020 16:30:51 GMT",
<http://web.archive.org/web/20200928064558/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:45:58 GMT",
<http://web.archive.org/web/20201003094547/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sat, 03 Oct 2020 09:45:47 GMT",
<http://web.archive.org/web/20201023151424/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Fri, 23 Oct 2020 15:14:24 GMT",
<http://web.archive.org/web/20201101014948/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sun, 01 Nov 2020 01:49:48 GMT",
<http://web.archive.org/web/20201112235915/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Thu, 12 Nov 2020 23:59:15 GMT",
<http://web.archive.org/web/20201116061709/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Mon, 16 Nov 2020 06:17:09 GMT",
<http://web.archive.org/web/20201205153053/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sat, 05 Dec 2020 15:30:53 GMT",
<http://web.archive.org/web/20201212083320/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Sat, 12 Dec 2020 08:33:20 GMT",
<http://web.archive.org/web/20201229114239/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Tue, 29 Dec 2020 11:42:39 GMT",
<http://web.archive.org/web/20210915223713/https://secure.actblue.com/donate/jeannine-lake-1>; rel="memento"; datetime="Wed, 15 Sep 2021 22:37:13 GMT",
