<http://secure.actblue.com/donate/hope-in-8-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/hope-in-8-1>; rel="self"; type="application/link-format"; from="Tue, 18 Aug 2020 21:16:27 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/hope-in-8-1>; rel="timegate",
<http://web.archive.org/web/20200818211627/http://secure.actblue.com/donate/hope-in-8-1>; rel="first memento"; datetime="Tue, 18 Aug 2020 21:16:27 GMT",
<http://web.archive.org/web/20200928064604/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:46:04 GMT",
<http://web.archive.org/web/20201004111313/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Sun, 04 Oct 2020 11:13:13 GMT",
<http://web.archive.org/web/20201004221242/http://secure.actblue.com/donate/Hope-in-8-1>; rel="memento"; datetime="Sun, 04 Oct 2020 22:12:42 GMT",
<http://web.archive.org/web/20201023151611/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Fri, 23 Oct 2020 15:16:11 GMT",
<http://web.archive.org/web/20201103103740/https://secure.actblue.com/donate/Hope-in-8-1>; rel="memento"; datetime="Tue, 03 Nov 2020 10:37:40 GMT",
<http://web.archive.org/web/20201103221203/http://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Tue, 03 Nov 2020 22:12:03 GMT",
<http://web.archive.org/web/20201113000931/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Fri, 13 Nov 2020 00:09:31 GMT",
<http://web.archive.org/web/20201115194209/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Sun, 15 Nov 2020 19:42:09 GMT",
<http://web.archive.org/web/20201115194318/http://secure.actblue.com/donate/Hope-in-8-1>; rel="memento"; datetime="Sun, 15 Nov 2020 19:43:18 GMT",
<http://web.archive.org/web/20201115194318/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Sun, 15 Nov 2020 19:43:18 GMT",
<http://web.archive.org/web/20201115194319/https://secure.actblue.com/donate/Hope-in-8-1>; rel="memento"; datetime="Sun, 15 Nov 2020 19:43:19 GMT",
<http://web.archive.org/web/20201115194622/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Sun, 15 Nov 2020 19:46:22 GMT",
<http://web.archive.org/web/20201205153232/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Sat, 05 Dec 2020 15:32:32 GMT",
<http://web.archive.org/web/20201212083427/https://secure.actblue.com/donate/hope-in-8-1>; rel="memento"; datetime="Sat, 12 Dec 2020 08:34:27 GMT",
