<https://secure.actblue.com/donate/sharice-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="self"; type="application/link-format"; from="Wed, 08 Aug 2018 13:03:03 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20180808130303/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="first memento"; datetime="Wed, 08 Aug 2018 13:03:03 GMT",
<http://web.archive.org/web/20180809154939/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 09 Aug 2018 15:49:39 GMT",
<http://web.archive.org/web/20180819161946/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sun, 19 Aug 2018 16:19:46 GMT",
<http://web.archive.org/web/20181010210318/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Wed, 10 Oct 2018 21:03:18 GMT",
<http://web.archive.org/web/20181011222014/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Thu, 11 Oct 2018 22:20:14 GMT",
<http://web.archive.org/web/20181124124351/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 24 Nov 2018 12:43:51 GMT",
<http://web.archive.org/web/20190322145854/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Fri, 22 Mar 2019 14:58:54 GMT",
<http://web.archive.org/web/20190508051813/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Wed, 08 May 2019 05:18:13 GMT",
<http://web.archive.org/web/20190508103934/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Wed, 08 May 2019 10:39:34 GMT",
<http://web.archive.org/web/20190730042829/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 30 Jul 2019 04:28:29 GMT",
<http://web.archive.org/web/20191116195435/https://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Sat, 16 Nov 2019 19:54:35 GMT",
<http://web.archive.org/web/20200114211247/http://secure.actblue.com/donate/sharice-for-congress-1>; rel="memento"; datetime="Tue, 14 Jan 2020 21:12:47 GMT",
