<https://garretgraves.ichooseapex.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://garretgraves.ichooseapex.com/donate/>; rel="self"; type="application/link-format"; from="Sat, 15 Nov 2014 20:06:47 GMT",
<http://web.archive.org/web/https://garretgraves.ichooseapex.com/donate/>; rel="timegate",
<http://web.archive.org/web/20141115200647/https://garretgraves.ichooseapex.com/donate>; rel="first memento"; datetime="Sat, 15 Nov 2014 20:06:47 GMT",
<http://web.archive.org/web/20141115200650/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Sat, 15 Nov 2014 20:06:50 GMT",
<http://web.archive.org/web/20141117031426/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Mon, 17 Nov 2014 03:14:26 GMT",
<http://web.archive.org/web/20141117031430/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Mon, 17 Nov 2014 03:14:30 GMT",
<http://web.archive.org/web/20150218210350/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Wed, 18 Feb 2015 21:03:50 GMT",
<http://web.archive.org/web/20150219033325/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Thu, 19 Feb 2015 03:33:25 GMT",
<http://web.archive.org/web/20160923202727/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Fri, 23 Sep 2016 20:27:27 GMT",
<http://web.archive.org/web/20160923202758/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Fri, 23 Sep 2016 20:27:58 GMT",
<http://web.archive.org/web/20161006185227/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Thu, 06 Oct 2016 18:52:27 GMT",
<http://web.archive.org/web/20161006185228/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Thu, 06 Oct 2016 18:52:28 GMT",
<http://web.archive.org/web/20161011215821/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Tue, 11 Oct 2016 21:58:21 GMT",
<http://web.archive.org/web/20161011215823/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Tue, 11 Oct 2016 21:58:23 GMT",
<http://web.archive.org/web/20161019171822/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Wed, 19 Oct 2016 17:18:22 GMT",
<http://web.archive.org/web/20161019171824/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Wed, 19 Oct 2016 17:18:24 GMT",
<http://web.archive.org/web/20161029004728/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Sat, 29 Oct 2016 00:47:28 GMT",
<http://web.archive.org/web/20161029004731/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Sat, 29 Oct 2016 00:47:31 GMT",
<http://web.archive.org/web/20181005205347/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Fri, 05 Oct 2018 20:53:47 GMT",
<http://web.archive.org/web/20181017161143/https://garretgraves.ichooseapex.com/donate>; rel="memento"; datetime="Wed, 17 Oct 2018 16:11:43 GMT",
<http://web.archive.org/web/20181017161146/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Wed, 17 Oct 2018 16:11:46 GMT",
<http://web.archive.org/web/20201005061620/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Mon, 05 Oct 2020 06:16:20 GMT",
<http://web.archive.org/web/20201213044114/https://garretgraves.ichooseapex.com/donate/>; rel="memento"; datetime="Sun, 13 Dec 2020 04:41:14 GMT",
