<https://secure.actblue.com/donate/richardneal14>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/richardneal14>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 09:35:13 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/richardneal14>; rel="timegate",
<http://web.archive.org/web/20190508093513/https://secure.actblue.com/donate/richardneal14>; rel="first memento"; datetime="Wed, 08 May 2019 09:35:13 GMT",
<http://web.archive.org/web/20190925221203/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 25 Sep 2019 22:12:03 GMT",
<http://web.archive.org/web/20200711090946/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sat, 11 Jul 2020 09:09:46 GMT",
<http://web.archive.org/web/20200816232256/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sun, 16 Aug 2020 23:22:56 GMT",
<http://web.archive.org/web/20200827222723/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Thu, 27 Aug 2020 22:27:23 GMT",
<http://web.archive.org/web/20200902005305/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 02 Sep 2020 00:53:05 GMT",
<http://web.archive.org/web/20201004005156/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sun, 04 Oct 2020 00:51:56 GMT",
<http://web.archive.org/web/20201004005157/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sun, 04 Oct 2020 00:51:57 GMT",
<http://web.archive.org/web/20201023161525/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Fri, 23 Oct 2020 16:15:25 GMT",
<http://web.archive.org/web/20201112224930/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Thu, 12 Nov 2020 22:49:30 GMT",
<http://web.archive.org/web/20201205162651/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sat, 05 Dec 2020 16:26:51 GMT",
<http://web.archive.org/web/20201212090933/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sat, 12 Dec 2020 09:09:33 GMT",
<http://web.archive.org/web/20210106000814/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 06 Jan 2021 00:08:14 GMT",
<http://web.archive.org/web/20210106000816/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 06 Jan 2021 00:08:16 GMT",
<http://web.archive.org/web/20210106000817/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 06 Jan 2021 00:08:17 GMT",
<http://web.archive.org/web/20210112232844/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Tue, 12 Jan 2021 23:28:44 GMT",
<http://web.archive.org/web/20210112232849/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Tue, 12 Jan 2021 23:28:49 GMT",
<http://web.archive.org/web/20210112232857/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Tue, 12 Jan 2021 23:28:57 GMT",
<http://web.archive.org/web/20210112232859/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Tue, 12 Jan 2021 23:28:59 GMT",
<http://web.archive.org/web/20210120012355/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 20 Jan 2021 01:23:55 GMT",
<http://web.archive.org/web/20210120012357/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 20 Jan 2021 01:23:57 GMT",
<http://web.archive.org/web/20210120012358/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 20 Jan 2021 01:23:58 GMT",
<http://web.archive.org/web/20210509091514/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sun, 09 May 2021 09:15:14 GMT",
<http://web.archive.org/web/20211017160932/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Sun, 17 Oct 2021 16:09:32 GMT",
<http://web.archive.org/web/20211018084317/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Mon, 18 Oct 2021 08:43:17 GMT",
<http://web.archive.org/web/20211019031557/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Tue, 19 Oct 2021 03:15:57 GMT",
<http://web.archive.org/web/20211020050047/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Wed, 20 Oct 2021 05:00:47 GMT",
<http://web.archive.org/web/20220217041717/https://secure.actblue.com/donate/richardneal14>; rel="memento"; datetime="Thu, 17 Feb 2022 04:17:17 GMT",
