<https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="self"; type="application/link-format"; from="Wed, 17 Oct 2018 15:03:13 GMT",
<http://web.archive.org/web/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="timegate",
<http://web.archive.org/web/20181017150313/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="first memento"; datetime="Wed, 17 Oct 2018 15:03:13 GMT",
<http://web.archive.org/web/20181023204740/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Tue, 23 Oct 2018 20:47:40 GMT",
<http://web.archive.org/web/20200711082159/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sat, 11 Jul 2020 08:21:59 GMT",
<http://web.archive.org/web/20200729184125/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Wed, 29 Jul 2020 18:41:25 GMT",
<http://web.archive.org/web/20200807132459/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Fri, 07 Aug 2020 13:24:59 GMT",
<http://web.archive.org/web/20200816230612/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sun, 16 Aug 2020 23:06:12 GMT",
<http://web.archive.org/web/20200926025535/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sat, 26 Sep 2020 02:55:35 GMT",
<http://web.archive.org/web/20201004223953/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sun, 04 Oct 2020 22:39:53 GMT",
<http://web.archive.org/web/20201022041354/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Thu, 22 Oct 2020 04:13:54 GMT",
<http://web.archive.org/web/20201113033059/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Fri, 13 Nov 2020 03:30:59 GMT",
<http://web.archive.org/web/20201113033330/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Fri, 13 Nov 2020 03:33:30 GMT",
<http://web.archive.org/web/20201128084418/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sat, 28 Nov 2020 08:44:18 GMT",
<http://web.archive.org/web/20201212170348/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sat, 12 Dec 2020 17:03:48 GMT",
<http://web.archive.org/web/20210121120446/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Thu, 21 Jan 2021 12:04:46 GMT",
<http://web.archive.org/web/20210302082816/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Tue, 02 Mar 2021 08:28:16 GMT",
<http://web.archive.org/web/20210416233408/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Fri, 16 Apr 2021 23:34:08 GMT",
<http://web.archive.org/web/20210506125634/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Thu, 06 May 2021 12:56:34 GMT",
<http://web.archive.org/web/20210509045115/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sun, 09 May 2021 04:51:15 GMT",
<http://web.archive.org/web/20210613143734/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Sun, 13 Jun 2021 14:37:34 GMT",
<http://web.archive.org/web/20211018032308/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Mon, 18 Oct 2021 03:23:08 GMT",
<http://web.archive.org/web/20211018194444/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Mon, 18 Oct 2021 19:44:44 GMT",
<http://web.archive.org/web/20211019011618/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Tue, 19 Oct 2021 01:16:18 GMT",
<http://web.archive.org/web/20211020140310/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Wed, 20 Oct 2021 14:03:10 GMT",
<http://web.archive.org/web/20211027132308/https://secure.anedot.com/andy-harris-for-congress/andy-harris-for-congress>; rel="memento"; datetime="Wed, 27 Oct 2021 13:23:08 GMT",
