<https://secure.actblue.com/donate/mia4maryland>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/mia4maryland>; rel="self"; type="application/link-format"; from="Mon, 09 Dec 2019 00:33:52 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/mia4maryland>; rel="timegate",
<http://web.archive.org/web/20191209003352/https://secure.actblue.com/donate/mia4maryland>; rel="first memento"; datetime="Mon, 09 Dec 2019 00:33:52 GMT",
<http://web.archive.org/web/20191216063423/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Mon, 16 Dec 2019 06:34:23 GMT",
<http://web.archive.org/web/20191222010613/http://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 22 Dec 2019 01:06:13 GMT",
<http://web.archive.org/web/20191222211019/http://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 22 Dec 2019 21:10:19 GMT",
<http://web.archive.org/web/20200514081120/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Thu, 14 May 2020 08:11:20 GMT",
<http://web.archive.org/web/20200628190409/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 28 Jun 2020 19:04:09 GMT",
<http://web.archive.org/web/20200711082312/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 11 Jul 2020 08:23:12 GMT",
<http://web.archive.org/web/20200711082313/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 11 Jul 2020 08:23:13 GMT",
<http://web.archive.org/web/20200711082314/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 11 Jul 2020 08:23:14 GMT",
<http://web.archive.org/web/20200711082315/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 11 Jul 2020 08:23:15 GMT",
<http://web.archive.org/web/20200816230649/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 16 Aug 2020 23:06:49 GMT",
<http://web.archive.org/web/20200903170346/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Thu, 03 Sep 2020 17:03:46 GMT",
<http://web.archive.org/web/20201003171617/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 03 Oct 2020 17:16:17 GMT",
<http://web.archive.org/web/20201023160408/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Fri, 23 Oct 2020 16:04:08 GMT",
<http://web.archive.org/web/20201101012128/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 01 Nov 2020 01:21:28 GMT",
<http://web.archive.org/web/20201101015130/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 01 Nov 2020 01:51:30 GMT",
<http://web.archive.org/web/20201101083308/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 01 Nov 2020 08:33:08 GMT",
<http://web.archive.org/web/20201113033340/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Fri, 13 Nov 2020 03:33:40 GMT",
<http://web.archive.org/web/20201113033348/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Fri, 13 Nov 2020 03:33:48 GMT",
<http://web.archive.org/web/20201113033945/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Fri, 13 Nov 2020 03:39:45 GMT",
<http://web.archive.org/web/20201117101741/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Tue, 17 Nov 2020 10:17:41 GMT",
<http://web.archive.org/web/20201117221140/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Tue, 17 Nov 2020 22:11:40 GMT",
<http://web.archive.org/web/20201117222021/http://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Tue, 17 Nov 2020 22:20:21 GMT",
<http://web.archive.org/web/20201117222021/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Tue, 17 Nov 2020 22:20:21 GMT",
<http://web.archive.org/web/20201117222837/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Tue, 17 Nov 2020 22:28:37 GMT",
<http://web.archive.org/web/20201117225222/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Tue, 17 Nov 2020 22:52:22 GMT",
<http://web.archive.org/web/20201118012724/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Wed, 18 Nov 2020 01:27:24 GMT",
<http://web.archive.org/web/20201120235758/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Fri, 20 Nov 2020 23:57:58 GMT",
<http://web.archive.org/web/20201122040949/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sun, 22 Nov 2020 04:09:49 GMT",
<http://web.archive.org/web/20201205161453/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 05 Dec 2020 16:14:53 GMT",
<http://web.archive.org/web/20201212090157/https://secure.actblue.com/donate/mia4maryland>; rel="memento"; datetime="Sat, 12 Dec 2020 09:01:57 GMT",
