<https://act.myngp.com/Forms/5146769949154344960>; rel="original",
<http://web.archive.org/web/timemap/link/https://act.myngp.com/Forms/5146769949154344960>; rel="self"; type="application/link-format"; from="Fri, 06 Jun 2014 12:48:02 GMT",
<http://web.archive.org/web/https://act.myngp.com/Forms/5146769949154344960>; rel="timegate",
<http://web.archive.org/web/20140606124802/https://act.myngp.com/Forms/5146769949154344960>; rel="first memento"; datetime="Fri, 06 Jun 2014 12:48:02 GMT",
<http://web.archive.org/web/20140613065602/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 13 Jun 2014 06:56:02 GMT",
<http://web.archive.org/web/20140620051111/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 20 Jun 2014 05:11:11 GMT",
<http://web.archive.org/web/20140627083959/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 27 Jun 2014 08:39:59 GMT",
<http://web.archive.org/web/20140704075344/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 04 Jul 2014 07:53:44 GMT",
<http://web.archive.org/web/20140711035151/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 11 Jul 2014 03:51:51 GMT",
<http://web.archive.org/web/20140718070430/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 18 Jul 2014 07:04:30 GMT",
<http://web.archive.org/web/20140719010525/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 19 Jul 2014 01:05:25 GMT",
<http://web.archive.org/web/20140725034632/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 25 Jul 2014 03:46:32 GMT",
<http://web.archive.org/web/20140726033545/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 26 Jul 2014 03:35:45 GMT",
<http://web.archive.org/web/20140801050507/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 01 Aug 2014 05:05:07 GMT",
<http://web.archive.org/web/20140802003050/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 02 Aug 2014 00:30:50 GMT",
<http://web.archive.org/web/20140809005535/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 09 Aug 2014 00:55:35 GMT",
<http://web.archive.org/web/20140816005257/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 16 Aug 2014 00:52:57 GMT",
<http://web.archive.org/web/20140823002526/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 23 Aug 2014 00:25:26 GMT",
<http://web.archive.org/web/20140830012610/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 30 Aug 2014 01:26:10 GMT",
<http://web.archive.org/web/20140906021245/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 06 Sep 2014 02:12:45 GMT",
<http://web.archive.org/web/20140913023940/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 13 Sep 2014 02:39:40 GMT",
<http://web.archive.org/web/20140920205933/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 20 Sep 2014 20:59:33 GMT",
<http://web.archive.org/web/20140927022730/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 27 Sep 2014 02:27:30 GMT",
<http://web.archive.org/web/20141004030035/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 04 Oct 2014 03:00:35 GMT",
<http://web.archive.org/web/20141011005352/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 11 Oct 2014 00:53:52 GMT",
<http://web.archive.org/web/20141018005549/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 18 Oct 2014 00:55:49 GMT",
<http://web.archive.org/web/20141025011823/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 25 Oct 2014 01:18:23 GMT",
<http://web.archive.org/web/20141026204553/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sun, 26 Oct 2014 20:45:53 GMT",
<http://web.archive.org/web/20141028012921/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Tue, 28 Oct 2014 01:29:21 GMT",
<http://web.archive.org/web/20141028214301/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Tue, 28 Oct 2014 21:43:01 GMT",
<http://web.archive.org/web/20141029215318/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Wed, 29 Oct 2014 21:53:18 GMT",
<http://web.archive.org/web/20141030204010/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Thu, 30 Oct 2014 20:40:10 GMT",
<http://web.archive.org/web/20141031211603/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 31 Oct 2014 21:16:03 GMT",
<http://web.archive.org/web/20141101204926/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 01 Nov 2014 20:49:26 GMT",
<http://web.archive.org/web/20141102210710/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sun, 02 Nov 2014 21:07:10 GMT",
<http://web.archive.org/web/20141103215658/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Mon, 03 Nov 2014 21:56:58 GMT",
<http://web.archive.org/web/20141104205328/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Tue, 04 Nov 2014 20:53:28 GMT",
<http://web.archive.org/web/20141105211829/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Wed, 05 Nov 2014 21:18:29 GMT",
<http://web.archive.org/web/20141106205612/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Thu, 06 Nov 2014 20:56:12 GMT",
<http://web.archive.org/web/20141107234516/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 07 Nov 2014 23:45:16 GMT",
<http://web.archive.org/web/20141108203914/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 08 Nov 2014 20:39:14 GMT",
<http://web.archive.org/web/20141109210218/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sun, 09 Nov 2014 21:02:18 GMT",
<http://web.archive.org/web/20141110202839/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Mon, 10 Nov 2014 20:28:39 GMT",
<http://web.archive.org/web/20141111235917/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Tue, 11 Nov 2014 23:59:17 GMT",
<http://web.archive.org/web/20141113014449/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Thu, 13 Nov 2014 01:44:49 GMT",
<http://web.archive.org/web/20141113204514/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Thu, 13 Nov 2014 20:45:14 GMT",
<http://web.archive.org/web/20141114204316/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Fri, 14 Nov 2014 20:43:16 GMT",
<http://web.archive.org/web/20141115225751/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sat, 15 Nov 2014 22:57:51 GMT",
<http://web.archive.org/web/20201213044403/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sun, 13 Dec 2020 04:44:03 GMT",
<http://web.archive.org/web/20210509010440/https://act.myngp.com/Forms/5146769949154344960>; rel="memento"; datetime="Sun, 09 May 2021 01:04:40 GMT",
