<https://secure.winred.com/gregory-coll-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="self"; type="application/link-format"; from="Tue, 21 Apr 2020 23:39:15 GMT",
<http://web.archive.org/web/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200421233915/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="first memento"; datetime="Tue, 21 Apr 2020 23:39:15 GMT",
<http://web.archive.org/web/20200711083654/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 08:36:54 GMT",
<http://web.archive.org/web/20200807042509/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 04:25:09 GMT",
<http://web.archive.org/web/20200816230909/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 16 Aug 2020 23:09:09 GMT",
<http://web.archive.org/web/20200924214856/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 21:48:56 GMT",
<http://web.archive.org/web/20201108073707/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 07:37:07 GMT",
<http://web.archive.org/web/20201108075832/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 07:58:32 GMT",
<http://web.archive.org/web/20201128054306/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 05:43:06 GMT",
<http://web.archive.org/web/20201213045219/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 04:52:19 GMT",
<http://web.archive.org/web/20210228042602/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 28 Feb 2021 04:26:02 GMT",
<http://web.archive.org/web/20210417091337/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 09:13:37 GMT",
<http://web.archive.org/web/20210505224433/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Wed, 05 May 2021 22:44:33 GMT",
<http://web.archive.org/web/20211017041039/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 04:10:39 GMT",
<http://web.archive.org/web/20211017165843/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 16:58:43 GMT",
<http://web.archive.org/web/20211019191337/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 19:13:37 GMT",
<http://web.archive.org/web/20211020084935/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 08:49:35 GMT",
<http://web.archive.org/web/20220214160350/https://secure.winred.com/gregory-coll-for-congress/donate>; rel="memento"; datetime="Mon, 14 Feb 2022 16:03:50 GMT",
