<https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 09:30:27 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="timegate",
<http://web.archive.org/web/20200711093027/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="first memento"; datetime="Sat, 11 Jul 2020 09:30:27 GMT",
<http://web.archive.org/web/20200728213258/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 28 Jul 2020 21:32:58 GMT",
<http://web.archive.org/web/20200731200447/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Fri, 31 Jul 2020 20:04:47 GMT",
<http://web.archive.org/web/20200816234338/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Sun, 16 Aug 2020 23:43:38 GMT",
<http://web.archive.org/web/20200820001921/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 20 Aug 2020 00:19:21 GMT",
<http://web.archive.org/web/20200928065205/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:52:05 GMT",
<http://web.archive.org/web/20201023175138/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Fri, 23 Oct 2020 17:51:38 GMT",
<http://web.archive.org/web/20201101053810/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Sun, 01 Nov 2020 05:38:10 GMT",
<http://web.archive.org/web/20201102140808/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Mon, 02 Nov 2020 14:08:08 GMT",
<http://web.archive.org/web/20201112223708/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 12 Nov 2020 22:37:08 GMT",
<http://web.archive.org/web/20201112231215/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 12 Nov 2020 23:12:15 GMT",
<http://web.archive.org/web/20201115020822/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Sun, 15 Nov 2020 02:08:22 GMT",
<http://web.archive.org/web/20201205164816/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Sat, 05 Dec 2020 16:48:16 GMT",
<http://web.archive.org/web/20201212092330/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Sat, 12 Dec 2020 09:23:30 GMT",
<http://web.archive.org/web/20210105222620/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:26:20 GMT",
<http://web.archive.org/web/20210105222623/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:26:23 GMT",
<http://web.archive.org/web/20210105222625/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:26:25 GMT",
<http://web.archive.org/web/20210105222627/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:26:27 GMT",
<http://web.archive.org/web/20210105222630/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 05 Jan 2021 22:26:30 GMT",
<http://web.archive.org/web/20210107051051/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 07 Jan 2021 05:10:51 GMT",
<http://web.archive.org/web/20210107051054/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 07 Jan 2021 05:10:54 GMT",
<http://web.archive.org/web/20210107051059/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 07 Jan 2021 05:10:59 GMT",
<http://web.archive.org/web/20210107051102/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 07 Jan 2021 05:11:02 GMT",
<http://web.archive.org/web/20210107051105/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Thu, 07 Jan 2021 05:11:05 GMT",
<http://web.archive.org/web/20210112231626/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 12 Jan 2021 23:16:26 GMT",
<http://web.archive.org/web/20210112231627/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 12 Jan 2021 23:16:27 GMT",
<http://web.archive.org/web/20210112231629/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Tue, 12 Jan 2021 23:16:29 GMT",
<http://web.archive.org/web/20210113112249/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 13 Jan 2021 11:22:49 GMT",
<http://web.archive.org/web/20210113112251/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 13 Jan 2021 11:22:51 GMT",
<http://web.archive.org/web/20210113112253/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 13 Jan 2021 11:22:53 GMT",
<http://web.archive.org/web/20210120014054/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 01:40:54 GMT",
<http://web.archive.org/web/20210120014055/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 01:40:55 GMT",
<http://web.archive.org/web/20210120014056/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 01:40:56 GMT",
<http://web.archive.org/web/20210120014057/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 01:40:57 GMT",
<http://web.archive.org/web/20210120080635/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 08:06:35 GMT",
<http://web.archive.org/web/20210120080636/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 08:06:36 GMT",
<http://web.archive.org/web/20210120080637/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 08:06:37 GMT",
<http://web.archive.org/web/20210120080638/https://secure.actblue.com/donate/friends-of-dana-ferguson-1>; rel="memento"; datetime="Wed, 20 Jan 2021 08:06:38 GMT",
