<https://secure.winred.com/huizenga-for-congress/contribute>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/huizenga-for-congress/contribute>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 09:29:45 GMT",
<http://web.archive.org/web/https://secure.winred.com/huizenga-for-congress/contribute>; rel="timegate",
<http://web.archive.org/web/20200711092945/https://secure.winred.com/huizenga-for-congress/contribute>; rel="first memento"; datetime="Sat, 11 Jul 2020 09:29:45 GMT",
<http://web.archive.org/web/20200816234428/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Sun, 16 Aug 2020 23:44:28 GMT",
<http://web.archive.org/web/20201001084142/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Thu, 01 Oct 2020 08:41:42 GMT",
<http://web.archive.org/web/20201022035401/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Thu, 22 Oct 2020 03:54:01 GMT",
<http://web.archive.org/web/20201112222714/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Thu, 12 Nov 2020 22:27:14 GMT",
<http://web.archive.org/web/20201201054335/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 01 Dec 2020 05:43:35 GMT",
<http://web.archive.org/web/20201213045952/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Sun, 13 Dec 2020 04:59:52 GMT",
<http://web.archive.org/web/20210120194548/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Wed, 20 Jan 2021 19:45:48 GMT",
<http://web.archive.org/web/20210228040429/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Sun, 28 Feb 2021 04:04:29 GMT",
<http://web.archive.org/web/20210423084012/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Fri, 23 Apr 2021 08:40:12 GMT",
<http://web.archive.org/web/20210509004736/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Sun, 09 May 2021 00:47:36 GMT",
<http://web.archive.org/web/20210518081711/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 18 May 2021 08:17:11 GMT",
<http://web.archive.org/web/20211019074844/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 19 Oct 2021 07:48:44 GMT",
<http://web.archive.org/web/20211019141701/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 19 Oct 2021 14:17:01 GMT",
<http://web.archive.org/web/20211019141930/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 19 Oct 2021 14:19:30 GMT",
<http://web.archive.org/web/20211019142437/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 19 Oct 2021 14:24:37 GMT",
<http://web.archive.org/web/20211019144138/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Tue, 19 Oct 2021 14:41:38 GMT",
<http://web.archive.org/web/20220122185150/https://secure.winred.com/huizenga-for-congress/contribute>; rel="memento"; datetime="Sat, 22 Jan 2022 18:51:50 GMT",
