<https://secure.actblue.com/donate/helphillary>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/helphillary>; rel="self"; type="application/link-format"; from="Thu, 11 Jul 2019 04:25:37 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/helphillary>; rel="timegate",
<http://web.archive.org/web/20190711042537/https://secure.actblue.com/donate/helphillary>; rel="first memento"; datetime="Thu, 11 Jul 2019 04:25:37 GMT",
<http://web.archive.org/web/20200404060046/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sat, 04 Apr 2020 06:00:46 GMT",
<http://web.archive.org/web/20200430153521/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Thu, 30 Apr 2020 15:35:21 GMT",
<http://web.archive.org/web/20200501052024/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Fri, 01 May 2020 05:20:24 GMT",
<http://web.archive.org/web/20200501052025/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Fri, 01 May 2020 05:20:25 GMT",
<http://web.archive.org/web/20200501052026/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Fri, 01 May 2020 05:20:26 GMT",
<http://web.archive.org/web/20200821001639/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Fri, 21 Aug 2020 00:16:39 GMT",
<http://web.archive.org/web/20201004064059/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 04 Oct 2020 06:40:59 GMT",
<http://web.archive.org/web/20201020033247/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Tue, 20 Oct 2020 03:32:47 GMT",
<http://web.archive.org/web/20201023175502/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Fri, 23 Oct 2020 17:55:02 GMT",
<http://web.archive.org/web/20201031020631/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sat, 31 Oct 2020 02:06:31 GMT",
<http://web.archive.org/web/20201101003627/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 01 Nov 2020 00:36:27 GMT",
<http://web.archive.org/web/20201101060803/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 01 Nov 2020 06:08:03 GMT",
<http://web.archive.org/web/20201101183413/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 01 Nov 2020 18:34:13 GMT",
<http://web.archive.org/web/20201112223151/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Thu, 12 Nov 2020 22:31:51 GMT",
<http://web.archive.org/web/20201115165140/http://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 15 Nov 2020 16:51:40 GMT",
<http://web.archive.org/web/20201115165140/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 15 Nov 2020 16:51:40 GMT",
<http://web.archive.org/web/20201115165447/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sun, 15 Nov 2020 16:54:47 GMT",
<http://web.archive.org/web/20201121051330/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sat, 21 Nov 2020 05:13:30 GMT",
<http://web.archive.org/web/20201205165122/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sat, 05 Dec 2020 16:51:22 GMT",
<http://web.archive.org/web/20201212092529/https://secure.actblue.com/donate/helphillary>; rel="memento"; datetime="Sat, 12 Dec 2020 09:25:29 GMT",
