<https://secure.actblue.com/donate/Hilliardforcongress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/Hilliardforcongress>; rel="self"; type="application/link-format"; from="Fri, 23 Oct 2020 17:56:32 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/Hilliardforcongress>; rel="timegate",
<http://web.archive.org/web/20201023175632/https://secure.actblue.com/donate/Hilliardforcongress>; rel="first memento"; datetime="Fri, 23 Oct 2020 17:56:32 GMT",
<http://web.archive.org/web/20201101032654/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Sun, 01 Nov 2020 03:26:54 GMT",
<http://web.archive.org/web/20201112223201/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Thu, 12 Nov 2020 22:32:01 GMT",
<http://web.archive.org/web/20201205165252/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Sat, 05 Dec 2020 16:52:52 GMT",
<http://web.archive.org/web/20201212092627/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Sat, 12 Dec 2020 09:26:27 GMT",
<http://web.archive.org/web/20210106024046/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 06 Jan 2021 02:40:46 GMT",
<http://web.archive.org/web/20210106024047/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 06 Jan 2021 02:40:47 GMT",
<http://web.archive.org/web/20210106024049/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 06 Jan 2021 02:40:49 GMT",
<http://web.archive.org/web/20210106024050/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 06 Jan 2021 02:40:50 GMT",
<http://web.archive.org/web/20210113041212/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 13 Jan 2021 04:12:12 GMT",
<http://web.archive.org/web/20210113041213/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 13 Jan 2021 04:12:13 GMT",
<http://web.archive.org/web/20210113041215/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 13 Jan 2021 04:12:15 GMT",
<http://web.archive.org/web/20210120053943/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 20 Jan 2021 05:39:43 GMT",
<http://web.archive.org/web/20210120053944/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 20 Jan 2021 05:39:44 GMT",
<http://web.archive.org/web/20210120053945/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 20 Jan 2021 05:39:45 GMT",
<http://web.archive.org/web/20210120053946/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 20 Jan 2021 05:39:46 GMT",
<http://web.archive.org/web/20210120053947/https://secure.actblue.com/donate/Hilliardforcongress>; rel="memento"; datetime="Wed, 20 Jan 2021 05:39:47 GMT",
