<https://secure.winred.com/fred-upton/website_donation_2019>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/fred-upton/website_donation_2019>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:31 GMT",
<http://web.archive.org/web/https://secure.winred.com/fred-upton/website_donation_2019>; rel="timegate",
<http://web.archive.org/web/20191014024731/https://secure.winred.com/fred-upton/website_donation_2019>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:31 GMT",
<http://web.archive.org/web/20191014024845/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Mon, 14 Oct 2019 02:48:45 GMT",
<http://web.archive.org/web/20191128080243/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Thu, 28 Nov 2019 08:02:43 GMT",
<http://web.archive.org/web/20200503170331/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 03 May 2020 17:03:31 GMT",
<http://web.archive.org/web/20200711093142/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sat, 11 Jul 2020 09:31:42 GMT",
<http://web.archive.org/web/20200812033604/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Wed, 12 Aug 2020 03:36:04 GMT",
<http://web.archive.org/web/20200816234730/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 16 Aug 2020 23:47:30 GMT",
<http://web.archive.org/web/20200926082237/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sat, 26 Sep 2020 08:22:37 GMT",
<http://web.archive.org/web/20201005063318/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Mon, 05 Oct 2020 06:33:18 GMT",
<http://web.archive.org/web/20201020171737/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Tue, 20 Oct 2020 17:17:37 GMT",
<http://web.archive.org/web/20201112222359/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Thu, 12 Nov 2020 22:23:59 GMT",
<http://web.archive.org/web/20201122074049/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 22 Nov 2020 07:40:49 GMT",
<http://web.archive.org/web/20201130171804/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Mon, 30 Nov 2020 17:18:04 GMT",
<http://web.archive.org/web/20201213051240/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 13 Dec 2020 05:12:40 GMT",
<http://web.archive.org/web/20210114160822/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Thu, 14 Jan 2021 16:08:22 GMT",
<http://web.archive.org/web/20210116172437/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sat, 16 Jan 2021 17:24:37 GMT",
<http://web.archive.org/web/20210117090930/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 17 Jan 2021 09:09:30 GMT",
<http://web.archive.org/web/20210118040305/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Mon, 18 Jan 2021 04:03:05 GMT",
<http://web.archive.org/web/20210121013506/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Thu, 21 Jan 2021 01:35:06 GMT",
<http://web.archive.org/web/20210307084800/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 07 Mar 2021 08:48:00 GMT",
<http://web.archive.org/web/20210417081618/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sat, 17 Apr 2021 08:16:18 GMT",
<http://web.archive.org/web/20210509003454/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Sun, 09 May 2021 00:34:54 GMT",
<http://web.archive.org/web/20211028073435/https://secure.winred.com/fred-upton/website_donation_2019>; rel="memento"; datetime="Thu, 28 Oct 2021 07:34:35 GMT",
