<https://secure.actblue.com/donate/2020reelection_homepage>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/2020reelection_homepage>; rel="self"; type="application/link-format"; from="Sat, 01 Feb 2020 03:13:28 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/2020reelection_homepage>; rel="timegate",
<http://web.archive.org/web/20200201031328/https://secure.actblue.com/donate/2020reelection_homepage>; rel="first memento"; datetime="Sat, 01 Feb 2020 03:13:28 GMT",
<http://web.archive.org/web/20200202055453/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Sun, 02 Feb 2020 05:54:53 GMT",
<http://web.archive.org/web/20200421020223/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Tue, 21 Apr 2020 02:02:23 GMT",
<http://web.archive.org/web/20200619101031/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Fri, 19 Jun 2020 10:10:31 GMT",
<http://web.archive.org/web/20200721051428/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Tue, 21 Jul 2020 05:14:28 GMT",
<http://web.archive.org/web/20200722204258/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Wed, 22 Jul 2020 20:42:58 GMT",
<http://web.archive.org/web/20200729072356/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Wed, 29 Jul 2020 07:23:56 GMT",
<http://web.archive.org/web/20200929045512/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Tue, 29 Sep 2020 04:55:12 GMT",
<http://web.archive.org/web/20201002215800/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Fri, 02 Oct 2020 21:58:00 GMT",
<http://web.archive.org/web/20201007011210/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Wed, 07 Oct 2020 01:12:10 GMT",
<http://web.archive.org/web/20201007013958/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Wed, 07 Oct 2020 01:39:58 GMT",
<http://web.archive.org/web/20201023181409/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Fri, 23 Oct 2020 18:14:09 GMT",
<http://web.archive.org/web/20201101072339/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Sun, 01 Nov 2020 07:23:39 GMT",
<http://web.archive.org/web/20201118173240/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Wed, 18 Nov 2020 17:32:40 GMT",
<http://web.archive.org/web/20201205171245/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Sat, 05 Dec 2020 17:12:45 GMT",
<http://web.archive.org/web/20201212094332/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Sat, 12 Dec 2020 09:43:32 GMT",
<http://web.archive.org/web/20210215180952/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Mon, 15 Feb 2021 18:09:52 GMT",
<http://web.archive.org/web/20210306063416/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Sat, 06 Mar 2021 06:34:16 GMT",
<http://web.archive.org/web/20210509085133/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Sun, 09 May 2021 08:51:33 GMT",
<http://web.archive.org/web/20210531041422/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Mon, 31 May 2021 04:14:22 GMT",
<http://web.archive.org/web/20220208231333/https://secure.actblue.com/donate/2020reelection_homepage>; rel="memento"; datetime="Tue, 08 Feb 2022 23:13:33 GMT",
