<https://secure.winred.com/tylerkistner/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/tylerkistner/donate>; rel="self"; type="application/link-format"; from="Thu, 14 May 2020 11:26:21 GMT",
<http://web.archive.org/web/https://secure.winred.com/tylerkistner/donate>; rel="timegate",
<http://web.archive.org/web/20200514112621/https://secure.winred.com/tylerkistner/donate>; rel="first memento"; datetime="Thu, 14 May 2020 11:26:21 GMT",
<http://web.archive.org/web/20200712082558/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sun, 12 Jul 2020 08:25:58 GMT",
<http://web.archive.org/web/20200807094936/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 09:49:36 GMT",
<http://web.archive.org/web/20200922203119/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 20:31:19 GMT",
<http://web.archive.org/web/20200929101428/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Tue, 29 Sep 2020 10:14:28 GMT",
<http://web.archive.org/web/20201001164526/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 16:45:26 GMT",
<http://web.archive.org/web/20201003064544/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 06:45:44 GMT",
<http://web.archive.org/web/20201003064942/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 06:49:42 GMT",
<http://web.archive.org/web/20201005064440/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 06:44:40 GMT",
<http://web.archive.org/web/20201029173101/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 17:31:01 GMT",
<http://web.archive.org/web/20201101213930/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 21:39:30 GMT",
<http://web.archive.org/web/20201105221425/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Thu, 05 Nov 2020 22:14:25 GMT",
<http://web.archive.org/web/20201106070533/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:05:33 GMT",
<http://web.archive.org/web/20201106120416/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:04:16 GMT",
<http://web.archive.org/web/20201112203327/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:33:27 GMT",
<http://web.archive.org/web/20201117034342/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 03:43:42 GMT",
<http://web.archive.org/web/20201213052854/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 05:28:54 GMT",
<http://web.archive.org/web/20210117130231/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 13:02:31 GMT",
<http://web.archive.org/web/20210417085435/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 08:54:35 GMT",
<http://web.archive.org/web/20210501002033/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sat, 01 May 2021 00:20:33 GMT",
<http://web.archive.org/web/20210509001236/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sun, 09 May 2021 00:12:36 GMT",
<http://web.archive.org/web/20210923052107/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Thu, 23 Sep 2021 05:21:07 GMT",
<http://web.archive.org/web/20211204131418/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sat, 04 Dec 2021 13:14:18 GMT",
<http://web.archive.org/web/20211219044801/https://secure.winred.com/tylerkistner/donate>; rel="memento"; datetime="Sun, 19 Dec 2021 04:48:01 GMT",
