<https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="self"; type="application/link-format"; from="Sat, 27 Jul 2019 02:14:18 GMT",
<http://web.archive.org/web/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20190727021418/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="first memento"; datetime="Sat, 27 Jul 2019 02:14:18 GMT",
<http://web.archive.org/web/20190815143159/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 15 Aug 2019 14:31:59 GMT",
<http://web.archive.org/web/20190901181027/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sun, 01 Sep 2019 18:10:27 GMT",
<http://web.archive.org/web/20190905191557/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 05 Sep 2019 19:15:57 GMT",
<http://web.archive.org/web/20190905193111/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 05 Sep 2019 19:31:11 GMT",
<http://web.archive.org/web/20190925043945/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Wed, 25 Sep 2019 04:39:45 GMT",
<http://web.archive.org/web/20191110131123/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sun, 10 Nov 2019 13:11:23 GMT",
<http://web.archive.org/web/20191202094048/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 02 Dec 2019 09:40:48 GMT",
<http://web.archive.org/web/20200506214937/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Wed, 06 May 2020 21:49:37 GMT",
<http://web.archive.org/web/20200527145234/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Wed, 27 May 2020 14:52:34 GMT",
<http://web.archive.org/web/20200620171415/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sat, 20 Jun 2020 17:14:15 GMT",
<http://web.archive.org/web/20200812063601/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 06:36:01 GMT",
<http://web.archive.org/web/20200817001539/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 00:15:39 GMT",
<http://web.archive.org/web/20200922065249/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 06:52:49 GMT",
<http://web.archive.org/web/20201001081249/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 08:12:49 GMT",
<http://web.archive.org/web/20201005064954/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 06:49:54 GMT",
<http://web.archive.org/web/20201022062212/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 22 Oct 2020 06:22:12 GMT",
<http://web.archive.org/web/20201103090648/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 09:06:48 GMT",
<http://web.archive.org/web/20201103123135/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 12:31:35 GMT",
<http://web.archive.org/web/20201112210214/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 21:02:14 GMT",
<http://web.archive.org/web/20201112210307/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 21:03:07 GMT",
<http://web.archive.org/web/20201115021740/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 02:17:40 GMT",
<http://web.archive.org/web/20201115030547/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 03:05:47 GMT",
<http://web.archive.org/web/20201116094930/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:30 GMT",
<http://web.archive.org/web/20201116094933/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:33 GMT",
<http://web.archive.org/web/20201116094936/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:36 GMT",
<http://web.archive.org/web/20201116094938/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:38 GMT",
<http://web.archive.org/web/20201116094940/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:40 GMT",
<http://web.archive.org/web/20201116094942/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:42 GMT",
<http://web.archive.org/web/20201116094952/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:52 GMT",
<http://web.archive.org/web/20201116094957/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:49:57 GMT",
<http://web.archive.org/web/20201117051803/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 05:18:03 GMT",
<http://web.archive.org/web/20201117051811/http://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 05:18:11 GMT",
<http://web.archive.org/web/20201117051902/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 05:19:02 GMT",
<http://web.archive.org/web/20201117222057/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 22:20:57 GMT",
<http://web.archive.org/web/20201117223500/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 22:35:00 GMT",
<http://web.archive.org/web/20201121174016/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 17:40:16 GMT",
<http://web.archive.org/web/20201125205027/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 20:50:27 GMT",
<http://web.archive.org/web/20201128233637/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 23:36:37 GMT",
<http://web.archive.org/web/20201130092116/https://secure.winred.com/lacy-johnson-for-congress/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 09:21:16 GMT",
