<https://secure.winred.com/ann-wagner/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/ann-wagner/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:48:26 GMT",
<http://web.archive.org/web/https://secure.winred.com/ann-wagner/donate>; rel="timegate",
<http://web.archive.org/web/20191014024826/https://secure.winred.com/ann-wagner/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:48:26 GMT",
<http://web.archive.org/web/20191014024951/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Mon, 14 Oct 2019 02:49:51 GMT",
<http://web.archive.org/web/20200711102418/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 10:24:18 GMT",
<http://web.archive.org/web/20200817004952/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 00:49:52 GMT",
<http://web.archive.org/web/20200911172147/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Fri, 11 Sep 2020 17:21:47 GMT",
<http://web.archive.org/web/20200926092523/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 09:25:23 GMT",
<http://web.archive.org/web/20201005070155/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 07:01:55 GMT",
<http://web.archive.org/web/20201020181542/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Tue, 20 Oct 2020 18:15:42 GMT",
<http://web.archive.org/web/20201102022915/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 02:29:15 GMT",
<http://web.archive.org/web/20201106000419/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 00:04:19 GMT",
<http://web.archive.org/web/20201112200438/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:04:38 GMT",
<http://web.archive.org/web/20201112200510/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:05:10 GMT",
<http://web.archive.org/web/20201123195600/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Mon, 23 Nov 2020 19:56:00 GMT",
<http://web.archive.org/web/20201213054457/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 05:44:57 GMT",
<http://web.archive.org/web/20210121220144/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Thu, 21 Jan 2021 22:01:44 GMT",
<http://web.archive.org/web/20210423091757/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 09:17:57 GMT",
<http://web.archive.org/web/20210508235328/https://secure.winred.com/ann-wagner/donate>; rel="memento"; datetime="Sat, 08 May 2021 23:53:28 GMT",
