<http://billylongforcongress.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.billylongforcongress.com/donate>; rel="self"; type="application/link-format"; from="Sun, 22 Jan 2012 00:46:31 GMT",
<http://web.archive.org/web/https://www.billylongforcongress.com/donate>; rel="timegate",
<http://web.archive.org/web/20120122004631/http://billylongforcongress.com/donate>; rel="first memento"; datetime="Sun, 22 Jan 2012 00:46:31 GMT",
<http://web.archive.org/web/20120126003150/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 26 Jan 2012 00:31:50 GMT",
<http://web.archive.org/web/20120225122737/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 25 Feb 2012 12:27:37 GMT",
<http://web.archive.org/web/20120225122747/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 25 Feb 2012 12:27:47 GMT",
<http://web.archive.org/web/20121012195657/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 12 Oct 2012 19:56:57 GMT",
<http://web.archive.org/web/20121012195753/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 12 Oct 2012 19:57:53 GMT",
<http://web.archive.org/web/20130722111904/http://www.billylongforcongress.com/donate>; rel="memento"; datetime="Mon, 22 Jul 2013 11:19:04 GMT",
<http://web.archive.org/web/20130730211906/https://www.billylongforcongress.com/donate>; rel="memento"; datetime="Tue, 30 Jul 2013 21:19:06 GMT",
<http://web.archive.org/web/20130810161416/http://billylongforcongress.com/donate>; rel="memento"; datetime="Sat, 10 Aug 2013 16:14:16 GMT",
<http://web.archive.org/web/20131020080841/http://billylongforcongress.com:80/donate>; rel="memento"; datetime="Sun, 20 Oct 2013 08:08:41 GMT",
<http://web.archive.org/web/20131216071729/https://billylongforcongress.com/donate>; rel="memento"; datetime="Mon, 16 Dec 2013 07:17:29 GMT",
<http://web.archive.org/web/20140110012853/http://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 10 Jan 2014 01:28:53 GMT",
<http://web.archive.org/web/20140110012856/https://billylongforcongress.com/donate>; rel="memento"; datetime="Fri, 10 Jan 2014 01:28:56 GMT",
<http://web.archive.org/web/20140115185147/http://billylongforcongress.com/donate>; rel="memento"; datetime="Wed, 15 Jan 2014 18:51:47 GMT",
<http://web.archive.org/web/20140115185154/https://billylongforcongress.com/donate>; rel="memento"; datetime="Wed, 15 Jan 2014 18:51:54 GMT",
<http://web.archive.org/web/20140116212933/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 16 Jan 2014 21:29:33 GMT",
<http://web.archive.org/web/20140116212938/https://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 16 Jan 2014 21:29:38 GMT",
<http://web.archive.org/web/20140116225642/http://billylongforcongress.com/donate>; rel="memento"; datetime="Thu, 16 Jan 2014 22:56:42 GMT",
