<https://secure.winred.com/JasonSmith/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/JasonSmith/donate>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 10:27:34 GMT",
<http://web.archive.org/web/https://secure.winred.com/JasonSmith/donate>; rel="timegate",
<http://web.archive.org/web/20200711102734/https://secure.winred.com/JasonSmith/donate>; rel="first memento"; datetime="Sat, 11 Jul 2020 10:27:34 GMT",
<http://web.archive.org/web/20200802013026/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Sun, 02 Aug 2020 01:30:26 GMT",
<http://web.archive.org/web/20200810000444/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Mon, 10 Aug 2020 00:04:44 GMT",
<http://web.archive.org/web/20200817005407/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 00:54:07 GMT",
<http://web.archive.org/web/20200924211738/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 21:17:38 GMT",
<http://web.archive.org/web/20200927010343/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 01:03:43 GMT",
<http://web.archive.org/web/20201005070429/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 07:04:29 GMT",
<http://web.archive.org/web/20201007191021/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Wed, 07 Oct 2020 19:10:21 GMT",
<http://web.archive.org/web/20201106071930/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:19:30 GMT",
<http://web.archive.org/web/20201106121551/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:15:51 GMT",
<http://web.archive.org/web/20201112200218/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:02:18 GMT",
<http://web.archive.org/web/20201112200321/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 20:03:21 GMT",
<http://web.archive.org/web/20201116035103/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 03:51:03 GMT",
<http://web.archive.org/web/20201116072532/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 07:25:32 GMT",
<http://web.archive.org/web/20201205000726/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Sat, 05 Dec 2020 00:07:26 GMT",
<http://web.archive.org/web/20201213055555/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 05:55:55 GMT",
<http://web.archive.org/web/20210106224759/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Wed, 06 Jan 2021 22:47:59 GMT",
<http://web.archive.org/web/20210302171844/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 17:18:44 GMT",
<http://web.archive.org/web/20210331040002/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:00:02 GMT",
<http://web.archive.org/web/20210416005248/https://secure.winred.com/jasonsmith/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:48 GMT",
<http://web.archive.org/web/20210417084328/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 08:43:28 GMT",
<http://web.archive.org/web/20210508074400/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Sat, 08 May 2021 07:44:00 GMT",
<http://web.archive.org/web/20210508234322/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Sat, 08 May 2021 23:43:22 GMT",
<http://web.archive.org/web/20210617055943/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Thu, 17 Jun 2021 05:59:43 GMT",
<http://web.archive.org/web/20211020043254/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 04:32:54 GMT",
<http://web.archive.org/web/20211020190525/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 19:05:25 GMT",
<http://web.archive.org/web/20211022025123/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 02:51:23 GMT",
<http://web.archive.org/web/20220306222045/https://secure.winred.com/JasonSmith/donate>; rel="memento"; datetime="Sun, 06 Mar 2022 22:20:45 GMT",
