<https://secure.actblue.com/donate/dwb4congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/dwb4congress>; rel="self"; type="application/link-format"; from="Thu, 19 Apr 2018 19:42:07 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/dwb4congress>; rel="timegate",
<http://web.archive.org/web/20180419194207/https://secure.actblue.com/donate/dwb4congress>; rel="first memento"; datetime="Thu, 19 Apr 2018 19:42:07 GMT",
<http://web.archive.org/web/20190304135122/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Mon, 04 Mar 2019 13:51:22 GMT",
<http://web.archive.org/web/20190508050649/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Wed, 08 May 2019 05:06:49 GMT",
<http://web.archive.org/web/20190508090037/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Wed, 08 May 2019 09:00:37 GMT",
<http://web.archive.org/web/20190713013811/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sat, 13 Jul 2019 01:38:11 GMT",
<http://web.archive.org/web/20200817034621/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Mon, 17 Aug 2020 03:46:21 GMT",
<http://web.archive.org/web/20200928064021/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Mon, 28 Sep 2020 06:40:21 GMT",
<http://web.archive.org/web/20201004181032/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sun, 04 Oct 2020 18:10:32 GMT",
<http://web.archive.org/web/20201004181033/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sun, 04 Oct 2020 18:10:33 GMT",
<http://web.archive.org/web/20201023230545/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Fri, 23 Oct 2020 23:05:45 GMT",
<http://web.archive.org/web/20201031193830/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sat, 31 Oct 2020 19:38:30 GMT",
<http://web.archive.org/web/20201111085018/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Wed, 11 Nov 2020 08:50:18 GMT",
<http://web.archive.org/web/20201111194928/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Wed, 11 Nov 2020 19:49:28 GMT",
<http://web.archive.org/web/20201114203236/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sat, 14 Nov 2020 20:32:36 GMT",
<http://web.archive.org/web/20201115005508/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sun, 15 Nov 2020 00:55:08 GMT",
<http://web.archive.org/web/20201205200658/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sat, 05 Dec 2020 20:06:58 GMT",
<http://web.archive.org/web/20201212113736/https://secure.actblue.com/donate/dwb4congress>; rel="memento"; datetime="Sat, 12 Dec 2020 11:37:36 GMT",
