<https://secure.winred.com/davidrouzer/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/DavidRouzer/donate>; rel="self"; type="application/link-format"; from="Tue, 23 Jun 2020 19:44:15 GMT",
<http://web.archive.org/web/https://secure.winred.com/DavidRouzer/donate>; rel="timegate",
<http://web.archive.org/web/20200623194415/https://secure.winred.com/davidrouzer/donate>; rel="first memento"; datetime="Tue, 23 Jun 2020 19:44:15 GMT",
<http://web.archive.org/web/20200812154810/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 15:48:10 GMT",
<http://web.archive.org/web/20200817034721/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 03:47:21 GMT",
<http://web.archive.org/web/20200926085826/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 08:58:26 GMT",
<http://web.archive.org/web/20201005085654/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 08:56:54 GMT",
<http://web.archive.org/web/20201030080550/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 08:05:50 GMT",
<http://web.archive.org/web/20201109213209/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 21:32:09 GMT",
<http://web.archive.org/web/20201109213251/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 21:32:51 GMT",
<http://web.archive.org/web/20201125113309/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 11:33:09 GMT",
<http://web.archive.org/web/20201130191006/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 19:10:06 GMT",
<http://web.archive.org/web/20201213071642/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:16:42 GMT",
<http://web.archive.org/web/20210118005613/https://secure.winred.com/davidrouzer/donate>; rel="memento"; datetime="Mon, 18 Jan 2021 00:56:13 GMT",
<http://web.archive.org/web/20210125013930/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 01:39:30 GMT",
<http://web.archive.org/web/20210131093723/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Sun, 31 Jan 2021 09:37:23 GMT",
<http://web.archive.org/web/20210423084841/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 08:48:41 GMT",
<http://web.archive.org/web/20210508080215/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Sat, 08 May 2021 08:02:15 GMT",
<http://web.archive.org/web/20210508222911/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Sat, 08 May 2021 22:29:11 GMT",
<http://web.archive.org/web/20211020222246/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 22:22:46 GMT",
<http://web.archive.org/web/20211022013755/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 01:37:55 GMT",
<http://web.archive.org/web/20211022150253/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 15:02:53 GMT",
<http://web.archive.org/web/20211127021033/https://secure.winred.com/DavidRouzer/donate>; rel="memento"; datetime="Sat, 27 Nov 2021 02:10:33 GMT",
