<https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="self"; type="application/link-format"; from="Tue, 24 Dec 2019 06:59:45 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20191224065945/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="first memento"; datetime="Tue, 24 Dec 2019 06:59:45 GMT",
<http://web.archive.org/web/20200411031527/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sat, 11 Apr 2020 03:15:27 GMT",
<http://web.archive.org/web/20200515174430/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 15 May 2020 17:44:30 GMT",
<http://web.archive.org/web/20200615174530/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Mon, 15 Jun 2020 17:45:30 GMT",
<http://web.archive.org/web/20200715193022/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Wed, 15 Jul 2020 19:30:22 GMT",
<http://web.archive.org/web/20200815174718/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sat, 15 Aug 2020 17:47:18 GMT",
<http://web.archive.org/web/20200817034748/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Mon, 17 Aug 2020 03:47:48 GMT",
<http://web.archive.org/web/20200915174340/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Tue, 15 Sep 2020 17:43:40 GMT",
<http://web.archive.org/web/20200928065247/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:52:47 GMT",
<http://web.archive.org/web/20201015174258/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 15 Oct 2020 17:42:58 GMT",
<http://web.archive.org/web/20201018033032/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 18 Oct 2020 03:30:32 GMT",
<http://web.archive.org/web/20201023231131/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 23 Oct 2020 23:11:31 GMT",
<http://web.archive.org/web/20201030074732/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 30 Oct 2020 07:47:32 GMT",
<http://web.archive.org/web/20201031072144/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sat, 31 Oct 2020 07:21:44 GMT",
<http://web.archive.org/web/20201101035344/http://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 03:53:44 GMT",
<http://web.archive.org/web/20201101035344/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 03:53:44 GMT",
<http://web.archive.org/web/20201101144017/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 01 Nov 2020 14:40:17 GMT",
<http://web.archive.org/web/20201107170607/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sat, 07 Nov 2020 17:06:07 GMT",
<http://web.archive.org/web/20201111085216/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Wed, 11 Nov 2020 08:52:16 GMT",
<http://web.archive.org/web/20201115005508/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 15 Nov 2020 00:55:08 GMT",
<http://web.archive.org/web/20201115174441/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 15 Nov 2020 17:44:41 GMT",
<http://web.archive.org/web/20201115204624/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 15 Nov 2020 20:46:24 GMT",
<http://web.archive.org/web/20201122015909/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 22 Nov 2020 01:59:09 GMT",
<http://web.archive.org/web/20201122131412/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 22 Nov 2020 13:14:12 GMT",
<http://web.archive.org/web/20201122131814/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 22 Nov 2020 13:18:14 GMT",
<http://web.archive.org/web/20201205201454/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sat, 05 Dec 2020 20:14:54 GMT",
<http://web.archive.org/web/20201212114200/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 11:42:00 GMT",
<http://web.archive.org/web/20201224141233/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 24 Dec 2020 14:12:33 GMT",
<http://web.archive.org/web/20201231162151/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 31 Dec 2020 16:21:51 GMT",
<http://web.archive.org/web/20210108105930/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 08 Jan 2021 10:59:30 GMT",
<http://web.archive.org/web/20210115143414/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 15 Jan 2021 14:34:14 GMT",
<http://web.archive.org/web/20210128122653/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 28 Jan 2021 12:26:53 GMT",
<http://web.archive.org/web/20210204085410/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 04 Feb 2021 08:54:10 GMT",
<http://web.archive.org/web/20210211205655/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 11 Feb 2021 20:56:55 GMT",
<http://web.archive.org/web/20210218163117/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 18 Feb 2021 16:31:17 GMT",
<http://web.archive.org/web/20210226012652/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 26 Feb 2021 01:26:52 GMT",
<http://web.archive.org/web/20210319123455/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 19 Mar 2021 12:34:55 GMT",
<http://web.archive.org/web/20210325112344/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 25 Mar 2021 11:23:44 GMT",
<http://web.archive.org/web/20210401104558/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 01 Apr 2021 10:45:58 GMT",
<http://web.archive.org/web/20210409101428/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 09 Apr 2021 10:14:28 GMT",
<http://web.archive.org/web/20210416013212/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 16 Apr 2021 01:32:12 GMT",
<http://web.archive.org/web/20210423014106/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 23 Apr 2021 01:41:06 GMT",
<http://web.archive.org/web/20210428190949/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Wed, 28 Apr 2021 19:09:49 GMT",
<http://web.archive.org/web/20210516043537/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Sun, 16 May 2021 04:35:37 GMT",
<http://web.archive.org/web/20210604040223/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Fri, 04 Jun 2021 04:02:23 GMT",
<http://web.archive.org/web/20210610090901/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Thu, 10 Jun 2021 09:09:01 GMT",
<http://web.archive.org/web/20210623145104/https://secure.actblue.com/donate/cynthia-wallace-for-congress-1>; rel="memento"; datetime="Wed, 23 Jun 2021 14:51:04 GMT",
