<https://secure.winred.com/mchenry-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/mchenry-for-congress/donate>; rel="self"; type="application/link-format"; from="Mon, 06 Apr 2020 18:23:46 GMT",
<http://web.archive.org/web/https://secure.winred.com/mchenry-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200406182346/https://secure.winred.com/mchenry-for-congress/donate>; rel="first memento"; datetime="Mon, 06 Apr 2020 18:23:46 GMT",
<http://web.archive.org/web/20200817034811/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 03:48:11 GMT",
<http://web.archive.org/web/20200904032059/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Fri, 04 Sep 2020 03:20:59 GMT",
<http://web.archive.org/web/20200926083634/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 08:36:34 GMT",
<http://web.archive.org/web/20201005090310/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 09:03:10 GMT",
<http://web.archive.org/web/20201106073729/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:37:29 GMT",
<http://web.archive.org/web/20201109212556/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 21:25:56 GMT",
<http://web.archive.org/web/20201117202138/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 20:21:38 GMT",
<http://web.archive.org/web/20201126023235/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 02:32:35 GMT",
<http://web.archive.org/web/20201128051237/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 05:12:37 GMT",
<http://web.archive.org/web/20201213071955/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:19:55 GMT",
<http://web.archive.org/web/20201222100707/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Tue, 22 Dec 2020 10:07:07 GMT",
<http://web.archive.org/web/20210122063447/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Fri, 22 Jan 2021 06:34:47 GMT",
<http://web.archive.org/web/20210422180256/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 18:02:56 GMT",
<http://web.archive.org/web/20210508221728/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Sat, 08 May 2021 22:17:28 GMT",
<http://web.archive.org/web/20210618133035/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Fri, 18 Jun 2021 13:30:35 GMT",
<http://web.archive.org/web/20210930145723/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Thu, 30 Sep 2021 14:57:23 GMT",
<http://web.archive.org/web/20211018052722/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 05:27:22 GMT",
<http://web.archive.org/web/20211018204020/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 20:40:20 GMT",
<http://web.archive.org/web/20211019022424/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 02:24:24 GMT",
<http://web.archive.org/web/20220302020155/https://secure.winred.com/mchenry-for-congress/donate>; rel="memento"; datetime="Wed, 02 Mar 2022 02:01:55 GMT",
