<https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="self"; type="application/link-format"; from="Sat, 26 Sep 2020 12:31:23 GMT",
<http://web.archive.org/web/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="timegate",
<http://web.archive.org/web/20200926123123/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="first memento"; datetime="Sat, 26 Sep 2020 12:31:23 GMT",
<http://web.archive.org/web/20201017165432/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 17 Oct 2020 16:54:32 GMT",
<http://web.archive.org/web/20201018015136/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 18 Oct 2020 01:51:36 GMT",
<http://web.archive.org/web/20201018025314/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 18 Oct 2020 02:53:14 GMT",
<http://web.archive.org/web/20201101050047/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 01 Nov 2020 05:00:47 GMT",
<http://web.archive.org/web/20201107065230/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 07 Nov 2020 06:52:30 GMT",
<http://web.archive.org/web/20201107170344/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 07 Nov 2020 17:03:44 GMT",
<http://web.archive.org/web/20201107183611/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 07 Nov 2020 18:36:11 GMT",
<http://web.archive.org/web/20201108180210/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sun, 08 Nov 2020 18:02:10 GMT",
<http://web.archive.org/web/20201109212657/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 09 Nov 2020 21:26:57 GMT",
<http://web.archive.org/web/20201109220953/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 09 Nov 2020 22:09:53 GMT",
<http://web.archive.org/web/20201114220714/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Sat, 14 Nov 2020 22:07:14 GMT",
<http://web.archive.org/web/20201116000543/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 16 Nov 2020 00:05:43 GMT",
<http://web.archive.org/web/20201116035101/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 16 Nov 2020 03:51:01 GMT",
<http://web.archive.org/web/20201116081009/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 16 Nov 2020 08:10:09 GMT",
<http://web.archive.org/web/20201116083449/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 16 Nov 2020 08:34:49 GMT",
<http://web.archive.org/web/20201116083740/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 16 Nov 2020 08:37:40 GMT",
<http://web.archive.org/web/20201116225510/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Mon, 16 Nov 2020 22:55:10 GMT",
<http://web.archive.org/web/20201117035614/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Tue, 17 Nov 2020 03:56:14 GMT",
<http://web.archive.org/web/20201117190702/https://secure.anedot.com/cawthorn-for-nc/cawthorn-for-nc-caca66a3eb4a5f39bf245>; rel="memento"; datetime="Tue, 17 Nov 2020 19:07:02 GMT",
