<https://secure.actblue.com/donate/moedavisweb>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/moedavisweb>; rel="self"; type="application/link-format"; from="Fri, 15 May 2020 18:05:07 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/moedavisweb>; rel="timegate",
<http://web.archive.org/web/20200515180507/https://secure.actblue.com/donate/moedavisweb>; rel="first memento"; datetime="Fri, 15 May 2020 18:05:07 GMT",
<http://web.archive.org/web/20200517180002/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sun, 17 May 2020 18:00:02 GMT",
<http://web.archive.org/web/20200612083849/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Fri, 12 Jun 2020 08:38:49 GMT",
<http://web.archive.org/web/20200615174556/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Mon, 15 Jun 2020 17:45:56 GMT",
<http://web.archive.org/web/20200624194823/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Wed, 24 Jun 2020 19:48:23 GMT",
<http://web.archive.org/web/20200715193156/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Wed, 15 Jul 2020 19:31:56 GMT",
<http://web.archive.org/web/20200815174609/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sat, 15 Aug 2020 17:46:09 GMT",
<http://web.archive.org/web/20200817034840/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Mon, 17 Aug 2020 03:48:40 GMT",
<http://web.archive.org/web/20200817131003/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Mon, 17 Aug 2020 13:10:03 GMT",
<http://web.archive.org/web/20200909090639/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Wed, 09 Sep 2020 09:06:39 GMT",
<http://web.archive.org/web/20200915174442/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Tue, 15 Sep 2020 17:44:42 GMT",
<http://web.archive.org/web/20201003062015/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sat, 03 Oct 2020 06:20:15 GMT",
<http://web.archive.org/web/20201005173143/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Mon, 05 Oct 2020 17:31:43 GMT",
<http://web.archive.org/web/20201014214503/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Wed, 14 Oct 2020 21:45:03 GMT",
<http://web.archive.org/web/20201015174348/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Thu, 15 Oct 2020 17:43:48 GMT",
<http://web.archive.org/web/20201020033828/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Tue, 20 Oct 2020 03:38:28 GMT",
<http://web.archive.org/web/20201023231435/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Fri, 23 Oct 2020 23:14:35 GMT",
<http://web.archive.org/web/20201101004153/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sun, 01 Nov 2020 00:41:53 GMT",
<http://web.archive.org/web/20201101113358/http://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sun, 01 Nov 2020 11:33:58 GMT",
<http://web.archive.org/web/20201108180204/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sun, 08 Nov 2020 18:02:04 GMT",
<http://web.archive.org/web/20201109220939/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Mon, 09 Nov 2020 22:09:39 GMT",
<http://web.archive.org/web/20201111084412/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Wed, 11 Nov 2020 08:44:12 GMT",
<http://web.archive.org/web/20201115174947/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sun, 15 Nov 2020 17:49:47 GMT",
<http://web.archive.org/web/20201118004845/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Wed, 18 Nov 2020 00:48:45 GMT",
<http://web.archive.org/web/20201205201906/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sat, 05 Dec 2020 20:19:06 GMT",
<http://web.archive.org/web/20201212114421/https://secure.actblue.com/donate/moedavisweb>; rel="memento"; datetime="Sat, 12 Dec 2020 11:44:21 GMT",
