<https://secure.winred.com/donbacon/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/donbacon/donate>; rel="self"; type="application/link-format"; from="Sat, 16 May 2020 22:37:17 GMT",
<http://web.archive.org/web/https://secure.winred.com/donbacon/donate>; rel="timegate",
<http://web.archive.org/web/20200516223717/https://secure.winred.com/donbacon/donate>; rel="first memento"; datetime="Sat, 16 May 2020 22:37:17 GMT",
<http://web.archive.org/web/20200604160014/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Thu, 04 Jun 2020 16:00:14 GMT",
<http://web.archive.org/web/20200711105855/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 10:58:55 GMT",
<http://web.archive.org/web/20200817012058/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 01:20:58 GMT",
<http://web.archive.org/web/20201005071327/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 07:13:27 GMT",
<http://web.archive.org/web/20201031103043/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 10:30:43 GMT",
<http://web.archive.org/web/20201106072906/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:29:06 GMT",
<http://web.archive.org/web/20201106123222/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:32:22 GMT",
<http://web.archive.org/web/20201108075530/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 07:55:30 GMT",
<http://web.archive.org/web/20201112192912/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 19:29:12 GMT",
<http://web.archive.org/web/20201114044330/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 04:43:30 GMT",
<http://web.archive.org/web/20201117005257/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 00:52:57 GMT",
<http://web.archive.org/web/20201117033230/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 03:32:30 GMT",
<http://web.archive.org/web/20201213055931/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 05:59:31 GMT",
<http://web.archive.org/web/20210208030203/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Mon, 08 Feb 2021 03:02:03 GMT",
<http://web.archive.org/web/20210331035303/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 03:53:03 GMT",
<http://web.archive.org/web/20210416005241/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:41 GMT",
<http://web.archive.org/web/20210508233547/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sat, 08 May 2021 23:35:47 GMT",
<http://web.archive.org/web/20210606014808/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sun, 06 Jun 2021 01:48:08 GMT",
<http://web.archive.org/web/20211022022715/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 02:27:15 GMT",
<http://web.archive.org/web/20211024155112/https://secure.winred.com/donbacon/donate>; rel="memento"; datetime="Sun, 24 Oct 2021 15:51:12 GMT",
