<https://secure.winred.com/mowers-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/mowers-for-congress/donate>; rel="self"; type="application/link-format"; from="Tue, 14 Jan 2020 19:40:34 GMT",
<http://web.archive.org/web/https://secure.winred.com/mowers-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200114194034/https://secure.winred.com/mowers-for-congress/donate>; rel="first memento"; datetime="Tue, 14 Jan 2020 19:40:34 GMT",
<http://web.archive.org/web/20200514103130/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Thu, 14 May 2020 10:31:30 GMT",
<http://web.archive.org/web/20200715103659/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 15 Jul 2020 10:36:59 GMT",
<http://web.archive.org/web/20200812034446/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 03:44:46 GMT",
<http://web.archive.org/web/20200901224846/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Tue, 01 Sep 2020 22:48:46 GMT",
<http://web.archive.org/web/20200924211140/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 21:11:40 GMT",
<http://web.archive.org/web/20201009194709/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Fri, 09 Oct 2020 19:47:09 GMT",
<http://web.archive.org/web/20201021131718/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 13:17:18 GMT",
<http://web.archive.org/web/20201106072445/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:24:45 GMT",
<http://web.archive.org/web/20201106122253/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:22:53 GMT",
<http://web.archive.org/web/20201112183031/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 18:30:31 GMT",
<http://web.archive.org/web/20201112183112/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 18:31:12 GMT",
<http://web.archive.org/web/20201115044025/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 04:40:25 GMT",
<http://web.archive.org/web/20201118033911/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 03:39:11 GMT",
<http://web.archive.org/web/20201118050033/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 05:00:33 GMT",
<http://web.archive.org/web/20201213061342/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 06:13:42 GMT",
<http://web.archive.org/web/20210203021438/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 03 Feb 2021 02:14:38 GMT",
<http://web.archive.org/web/20210331040238/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:02:38 GMT",
<http://web.archive.org/web/20210416005253/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:53 GMT",
<http://web.archive.org/web/20210830213745/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Mon, 30 Aug 2021 21:37:45 GMT",
<http://web.archive.org/web/20210917020015/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Fri, 17 Sep 2021 02:00:15 GMT",
<http://web.archive.org/web/20220309070937/https://secure.winred.com/mowers-for-congress/donate>; rel="memento"; datetime="Wed, 09 Mar 2022 07:09:37 GMT",
