<https://secure.winred.com/clairegustafson/donation>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/clairegustafson/donation>; rel="self"; type="application/link-format"; from="Tue, 09 Jun 2020 03:31:25 GMT",
<http://web.archive.org/web/https://secure.winred.com/clairegustafson/donation>; rel="timegate",
<http://web.archive.org/web/20200609033125/https://secure.winred.com/clairegustafson/donation>; rel="first memento"; datetime="Tue, 09 Jun 2020 03:31:25 GMT",
<http://web.archive.org/web/20200616000336/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Tue, 16 Jun 2020 00:03:36 GMT",
<http://web.archive.org/web/20200701210440/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Wed, 01 Jul 2020 21:04:40 GMT",
<http://web.archive.org/web/20200711122225/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Sat, 11 Jul 2020 12:22:25 GMT",
<http://web.archive.org/web/20200812031155/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Wed, 12 Aug 2020 03:11:55 GMT",
<http://web.archive.org/web/20200817020835/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Mon, 17 Aug 2020 02:08:35 GMT",
<http://web.archive.org/web/20201001072628/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Thu, 01 Oct 2020 07:26:28 GMT",
<http://web.archive.org/web/20201030070356/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Fri, 30 Oct 2020 07:03:56 GMT",
<http://web.archive.org/web/20201102094247/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Mon, 02 Nov 2020 09:42:47 GMT",
<http://web.archive.org/web/20201108052905/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Sun, 08 Nov 2020 05:29:05 GMT",
<http://web.archive.org/web/20201108054143/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Sun, 08 Nov 2020 05:41:43 GMT",
<http://web.archive.org/web/20201112181051/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Thu, 12 Nov 2020 18:10:51 GMT",
<http://web.archive.org/web/20201112181120/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Thu, 12 Nov 2020 18:11:20 GMT",
<http://web.archive.org/web/20201126140739/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Thu, 26 Nov 2020 14:07:39 GMT",
<http://web.archive.org/web/20201213061648/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Sun, 13 Dec 2020 06:16:48 GMT",
<http://web.archive.org/web/20211111212527/https://secure.winred.com/clairegustafson/donation>; rel="memento"; datetime="Thu, 11 Nov 2021 21:25:27 GMT",
