<https://secure.winred.com/davidrichter/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/davidrichter/donate>; rel="self"; type="application/link-format"; from="Wed, 08 Apr 2020 12:21:17 GMT",
<http://web.archive.org/web/https://secure.winred.com/davidrichter/donate>; rel="timegate",
<http://web.archive.org/web/20200408122117/https://secure.winred.com/davidrichter/donate>; rel="first memento"; datetime="Wed, 08 Apr 2020 12:21:17 GMT",
<http://web.archive.org/web/20200514054620/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Thu, 14 May 2020 05:46:20 GMT",
<http://web.archive.org/web/20200623011732/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Tue, 23 Jun 2020 01:17:32 GMT",
<http://web.archive.org/web/20200701205648/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Wed, 01 Jul 2020 20:56:48 GMT",
<http://web.archive.org/web/20200727182631/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Mon, 27 Jul 2020 18:26:31 GMT",
<http://web.archive.org/web/20200809060419/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Sun, 09 Aug 2020 06:04:19 GMT",
<http://web.archive.org/web/20200817020932/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 02:09:32 GMT",
<http://web.archive.org/web/20200922221056/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Tue, 22 Sep 2020 22:10:56 GMT",
<http://web.archive.org/web/20200924134228/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 13:42:28 GMT",
<http://web.archive.org/web/20201001020440/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 02:04:40 GMT",
<http://web.archive.org/web/20201005073156/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 07:31:56 GMT",
<http://web.archive.org/web/20201008231420/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Thu, 08 Oct 2020 23:14:20 GMT",
<http://web.archive.org/web/20201101215911/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Sun, 01 Nov 2020 21:59:11 GMT",
<http://web.archive.org/web/20201102203337/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 20:33:37 GMT",
<http://web.archive.org/web/20201106070429/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:04:29 GMT",
<http://web.archive.org/web/20201106120322/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:03:22 GMT",
<http://web.archive.org/web/20201110000714/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Tue, 10 Nov 2020 00:07:14 GMT",
<http://web.archive.org/web/20201112181026/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 18:10:26 GMT",
<http://web.archive.org/web/20201112181101/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 18:11:01 GMT",
<http://web.archive.org/web/20201121202647/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 20:26:47 GMT",
<http://web.archive.org/web/20201127021027/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Fri, 27 Nov 2020 02:10:27 GMT",
<http://web.archive.org/web/20201213062026/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 06:20:26 GMT",
<http://web.archive.org/web/20210101091226/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 09:12:26 GMT",
<http://web.archive.org/web/20211017102830/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 10:28:30 GMT",
<http://web.archive.org/web/20211018005502/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Mon, 18 Oct 2021 00:55:02 GMT",
<http://web.archive.org/web/20211019020241/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 02:02:41 GMT",
<http://web.archive.org/web/20211020000849/https://secure.winred.com/davidrichter/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 00:08:49 GMT",
