<https://secure.winred.com/FrankPallotta/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/FrankPallotta/donate>; rel="self"; type="application/link-format"; from="Tue, 19 May 2020 02:23:40 GMT",
<http://web.archive.org/web/https://secure.winred.com/FrankPallotta/donate>; rel="timegate",
<http://web.archive.org/web/20200519022340/https://secure.winred.com/FrankPallotta/donate>; rel="first memento"; datetime="Tue, 19 May 2020 02:23:40 GMT",
<http://web.archive.org/web/20200622134051/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Mon, 22 Jun 2020 13:40:51 GMT",
<http://web.archive.org/web/20200701210541/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Wed, 01 Jul 2020 21:05:41 GMT",
<http://web.archive.org/web/20200809045351/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Sun, 09 Aug 2020 04:53:51 GMT",
<http://web.archive.org/web/20200817021327/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 02:13:27 GMT",
<http://web.archive.org/web/20200924201002/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 20:10:02 GMT",
<http://web.archive.org/web/20201005073844/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 07:38:44 GMT",
<http://web.archive.org/web/20201102053656/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 05:36:56 GMT",
<http://web.archive.org/web/20201103145407/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 14:54:07 GMT",
<http://web.archive.org/web/20201106064921/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 06:49:21 GMT",
<http://web.archive.org/web/20201106114627/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 11:46:27 GMT",
<http://web.archive.org/web/20201112180946/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 18:09:46 GMT",
<http://web.archive.org/web/20201112181010/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 18:10:10 GMT",
<http://web.archive.org/web/20201115030009/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 03:00:09 GMT",
<http://web.archive.org/web/20201115030010/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 03:00:10 GMT",
<http://web.archive.org/web/20201115031249/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 03:12:49 GMT",
<http://web.archive.org/web/20201115031253/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 03:12:53 GMT",
<http://web.archive.org/web/20201122000513/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 00:05:13 GMT",
<http://web.archive.org/web/20201122003857/https://secure.winred.com/frankpallotta/donate>; rel="memento"; datetime="Sun, 22 Nov 2020 00:38:57 GMT",
<http://web.archive.org/web/20201124070159/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Tue, 24 Nov 2020 07:01:59 GMT",
<http://web.archive.org/web/20201130162746/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 16:27:46 GMT",
<http://web.archive.org/web/20201213063243/https://secure.winred.com/FrankPallotta/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 06:32:43 GMT",
