<https://secure.actblue.com/donate/tpmwb>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/tpmwb>; rel="self"; type="application/link-format"; from="Thu, 02 Aug 2018 04:37:41 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/tpmwb>; rel="timegate",
<http://web.archive.org/web/20180802043741/https://secure.actblue.com/donate/tpmwb>; rel="first memento"; datetime="Thu, 02 Aug 2018 04:37:41 GMT",
<http://web.archive.org/web/20190416015539/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Tue, 16 Apr 2019 01:55:39 GMT",
<http://web.archive.org/web/20190621064251/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Fri, 21 Jun 2019 06:42:51 GMT",
<http://web.archive.org/web/20200302230726/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Mon, 02 Mar 2020 23:07:26 GMT",
<http://web.archive.org/web/20200523203252/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 23 May 2020 20:32:52 GMT",
<http://web.archive.org/web/20200701215250/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Wed, 01 Jul 2020 21:52:50 GMT",
<http://web.archive.org/web/20200711121534/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 11 Jul 2020 12:15:34 GMT",
<http://web.archive.org/web/20200711121535/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 11 Jul 2020 12:15:35 GMT",
<http://web.archive.org/web/20200817021400/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Mon, 17 Aug 2020 02:14:00 GMT",
<http://web.archive.org/web/20201003145412/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 03 Oct 2020 14:54:12 GMT",
<http://web.archive.org/web/20201004021323/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sun, 04 Oct 2020 02:13:23 GMT",
<http://web.archive.org/web/20201004021323/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sun, 04 Oct 2020 02:13:23 GMT",
<http://web.archive.org/web/20201023193608/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Fri, 23 Oct 2020 19:36:08 GMT",
<http://web.archive.org/web/20201101071243/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sun, 01 Nov 2020 07:12:43 GMT",
<http://web.archive.org/web/20201112181355/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Thu, 12 Nov 2020 18:13:55 GMT",
<http://web.archive.org/web/20201112231812/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Thu, 12 Nov 2020 23:18:12 GMT",
<http://web.archive.org/web/20201113004954/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Fri, 13 Nov 2020 00:49:54 GMT",
<http://web.archive.org/web/20201121063725/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 21 Nov 2020 06:37:25 GMT",
<http://web.archive.org/web/20201205182242/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 05 Dec 2020 18:22:42 GMT",
<http://web.archive.org/web/20201212103032/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sat, 12 Dec 2020 10:30:32 GMT",
<http://web.archive.org/web/20210509082809/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sun, 09 May 2021 08:28:09 GMT",
<http://web.archive.org/web/20210815232137/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sun, 15 Aug 2021 23:21:37 GMT",
<http://web.archive.org/web/20210816231343/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Mon, 16 Aug 2021 23:13:43 GMT",
<http://web.archive.org/web/20211022045340/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Fri, 22 Oct 2021 04:53:40 GMT",
<http://web.archive.org/web/20211024020324/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Sun, 24 Oct 2021 02:03:24 GMT",
<http://web.archive.org/web/20220202005236/https://secure.actblue.com/donate/tpmwb>; rel="memento"; datetime="Wed, 02 Feb 2022 00:52:36 GMT",
