<https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="self"; type="application/link-format"; from="Wed, 08 May 2019 04:50:19 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="timegate",
<http://web.archive.org/web/20190508045019/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="first memento"; datetime="Wed, 08 May 2019 04:50:19 GMT",
<http://web.archive.org/web/20190508065548/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Wed, 08 May 2019 06:55:48 GMT",
<http://web.archive.org/web/20200624232919/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Wed, 24 Jun 2020 23:29:19 GMT",
<http://web.archive.org/web/20200711122357/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sat, 11 Jul 2020 12:23:57 GMT",
<http://web.archive.org/web/20200817021906/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Mon, 17 Aug 2020 02:19:06 GMT",
<http://web.archive.org/web/20200903071117/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Thu, 03 Sep 2020 07:11:17 GMT",
<http://web.archive.org/web/20200928064100/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Mon, 28 Sep 2020 06:41:00 GMT",
<http://web.archive.org/web/20201031230623/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sat, 31 Oct 2020 23:06:23 GMT",
<http://web.archive.org/web/20201101074909/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sun, 01 Nov 2020 07:49:09 GMT",
<http://web.archive.org/web/20201107011921/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sat, 07 Nov 2020 01:19:21 GMT",
<http://web.archive.org/web/20201112181925/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Thu, 12 Nov 2020 18:19:25 GMT",
<http://web.archive.org/web/20201112181932/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Thu, 12 Nov 2020 18:19:32 GMT",
<http://web.archive.org/web/20201124125315/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Tue, 24 Nov 2020 12:53:15 GMT",
<http://web.archive.org/web/20201205183225/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sat, 05 Dec 2020 18:32:25 GMT",
<http://web.archive.org/web/20201212103545/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sat, 12 Dec 2020 10:35:45 GMT",
<http://web.archive.org/web/20210509082453/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Sun, 09 May 2021 08:24:53 GMT",
<http://web.archive.org/web/20220202141859/https://secure.actblue.com/donate/bonnie-watson-coleman-2>; rel="memento"; datetime="Wed, 02 Feb 2022 14:18:59 GMT",
