<https://secure.actblue.com/donate/teresa-for-nm>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/teresa-for-nm>; rel="self"; type="application/link-format"; from="Sat, 22 Feb 2020 11:00:26 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/teresa-for-nm>; rel="timegate",
<http://web.archive.org/web/20200222110026/https://secure.actblue.com/donate/teresa-for-nm>; rel="first memento"; datetime="Sat, 22 Feb 2020 11:00:26 GMT",
<http://web.archive.org/web/20200222233524/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sat, 22 Feb 2020 23:35:24 GMT",
<http://web.archive.org/web/20200409172004/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Thu, 09 Apr 2020 17:20:04 GMT",
<http://web.archive.org/web/20200425051634/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sat, 25 Apr 2020 05:16:34 GMT",
<http://web.archive.org/web/20200912180729/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sat, 12 Sep 2020 18:07:29 GMT",
<http://web.archive.org/web/20201004022323/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sun, 04 Oct 2020 02:23:23 GMT",
<http://web.archive.org/web/20201004022323/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sun, 04 Oct 2020 02:23:23 GMT",
<http://web.archive.org/web/20201020032735/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 20 Oct 2020 03:27:35 GMT",
<http://web.archive.org/web/20201023194937/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Fri, 23 Oct 2020 19:49:37 GMT",
<http://web.archive.org/web/20201101095601/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sun, 01 Nov 2020 09:56:01 GMT",
<http://web.archive.org/web/20201112080335/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Thu, 12 Nov 2020 08:03:35 GMT",
<http://web.archive.org/web/20201123191430/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Mon, 23 Nov 2020 19:14:30 GMT",
<http://web.archive.org/web/20201205183958/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sat, 05 Dec 2020 18:39:58 GMT",
<http://web.archive.org/web/20201212104025/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sat, 12 Dec 2020 10:40:25 GMT",
<http://web.archive.org/web/20210105194639/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 05 Jan 2021 19:46:39 GMT",
<http://web.archive.org/web/20210105194640/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 05 Jan 2021 19:46:40 GMT",
<http://web.archive.org/web/20210105194641/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 05 Jan 2021 19:46:41 GMT",
<http://web.archive.org/web/20210112204414/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 12 Jan 2021 20:44:14 GMT",
<http://web.archive.org/web/20210112204415/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 12 Jan 2021 20:44:15 GMT",
<http://web.archive.org/web/20210112204417/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Tue, 12 Jan 2021 20:44:17 GMT",
<http://web.archive.org/web/20210120002823/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Wed, 20 Jan 2021 00:28:23 GMT",
<http://web.archive.org/web/20210120002825/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Wed, 20 Jan 2021 00:28:25 GMT",
<http://web.archive.org/web/20210120002826/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Wed, 20 Jan 2021 00:28:26 GMT",
<http://web.archive.org/web/20210120002828/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Wed, 20 Jan 2021 00:28:28 GMT",
<http://web.archive.org/web/20210509081540/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Sun, 09 May 2021 08:15:40 GMT",
<http://web.archive.org/web/20220214095803/https://secure.actblue.com/donate/teresa-for-nm>; rel="memento"; datetime="Mon, 14 Feb 2022 09:58:03 GMT",
