<https://secure.actblue.com/donate/ackerman4congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/ackerman4congress>; rel="self"; type="application/link-format"; from="Mon, 16 Dec 2019 03:57:06 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/ackerman4congress>; rel="timegate",
<http://web.archive.org/web/20191216035706/https://secure.actblue.com/donate/ackerman4congress>; rel="first memento"; datetime="Mon, 16 Dec 2019 03:57:06 GMT",
<http://web.archive.org/web/20200402001314/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Thu, 02 Apr 2020 00:13:14 GMT",
<http://web.archive.org/web/20200611052436/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Thu, 11 Jun 2020 05:24:36 GMT",
<http://web.archive.org/web/20200613084827/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sat, 13 Jun 2020 08:48:27 GMT",
<http://web.archive.org/web/20200817013225/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Mon, 17 Aug 2020 01:32:25 GMT",
<http://web.archive.org/web/20200928065301/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Mon, 28 Sep 2020 06:53:01 GMT",
<http://web.archive.org/web/20201001160628/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Thu, 01 Oct 2020 16:06:28 GMT",
<http://web.archive.org/web/20201002002732/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Fri, 02 Oct 2020 00:27:32 GMT",
<http://web.archive.org/web/20201029235754/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Thu, 29 Oct 2020 23:57:54 GMT",
<http://web.archive.org/web/20201031173005/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sat, 31 Oct 2020 17:30:05 GMT",
<http://web.archive.org/web/20201101021000/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sun, 01 Nov 2020 02:10:00 GMT",
<http://web.archive.org/web/20201105192738/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Thu, 05 Nov 2020 19:27:38 GMT",
<http://web.archive.org/web/20201107041449/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sat, 07 Nov 2020 04:14:49 GMT",
<http://web.archive.org/web/20201112191921/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Thu, 12 Nov 2020 19:19:21 GMT",
<http://web.archive.org/web/20201116170647/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Mon, 16 Nov 2020 17:06:47 GMT",
<http://web.archive.org/web/20201118095024/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Wed, 18 Nov 2020 09:50:24 GMT",
<http://web.archive.org/web/20201205180517/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sat, 05 Dec 2020 18:05:17 GMT",
<http://web.archive.org/web/20201212102014/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sat, 12 Dec 2020 10:20:14 GMT",
<http://web.archive.org/web/20211219175652/https://secure.actblue.com/donate/ackerman4congress>; rel="memento"; datetime="Sun, 19 Dec 2021 17:56:52 GMT",
