<https://secure.winred.com/george-santos-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/george-santos-for-congress/donate>; rel="self"; type="application/link-format"; from="Sat, 11 Jul 2020 12:29:39 GMT",
<http://web.archive.org/web/https://secure.winred.com/george-santos-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200711122939/https://secure.winred.com/george-santos-for-congress/donate>; rel="first memento"; datetime="Sat, 11 Jul 2020 12:29:39 GMT",
<http://web.archive.org/web/20200807095706/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 09:57:06 GMT",
<http://web.archive.org/web/20200817031133/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 03:11:33 GMT",
<http://web.archive.org/web/20200908234936/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Tue, 08 Sep 2020 23:49:36 GMT",
<http://web.archive.org/web/20200926090421/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 09:04:21 GMT",
<http://web.archive.org/web/20201111181659/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Wed, 11 Nov 2020 18:16:59 GMT",
<http://web.archive.org/web/20201111181738/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Wed, 11 Nov 2020 18:17:38 GMT",
<http://web.archive.org/web/20201120042321/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Fri, 20 Nov 2020 04:23:21 GMT",
<http://web.archive.org/web/20201121041358/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Sat, 21 Nov 2020 04:13:58 GMT",
<http://web.archive.org/web/20201128154226/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 15:42:26 GMT",
<http://web.archive.org/web/20201130181101/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Mon, 30 Nov 2020 18:11:01 GMT",
<http://web.archive.org/web/20201213064603/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 06:46:03 GMT",
<http://web.archive.org/web/20210228041753/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Sun, 28 Feb 2021 04:17:53 GMT",
<http://web.archive.org/web/20210422183640/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 18:36:40 GMT",
<http://web.archive.org/web/20210505223608/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Wed, 05 May 2021 22:36:08 GMT",
<http://web.archive.org/web/20210508230009/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Sat, 08 May 2021 23:00:09 GMT",
<http://web.archive.org/web/20211126032559/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Fri, 26 Nov 2021 03:25:59 GMT",
<http://web.archive.org/web/20220309085114/https://secure.winred.com/george-santos-for-congress/donate>; rel="memento"; datetime="Wed, 09 Mar 2022 08:51:14 GMT",
