<https://act.myngp.com/Forms/-8980169569814116608>; rel="original",
<http://web.archive.org/web/timemap/link/https://act.myngp.com/Forms/-8980169569814116608>; rel="self"; type="application/link-format"; from="Mon, 16 Feb 2015 01:04:08 GMT",
<http://web.archive.org/web/https://act.myngp.com/Forms/-8980169569814116608>; rel="timegate",
<http://web.archive.org/web/20150216010408/https://act.myngp.com/Forms/-8980169569814116608>; rel="first memento"; datetime="Mon, 16 Feb 2015 01:04:08 GMT",
<http://web.archive.org/web/20160311075235/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Fri, 11 Mar 2016 07:52:35 GMT",
<http://web.archive.org/web/20160720104955/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 20 Jul 2016 10:49:55 GMT",
<http://web.archive.org/web/20160923202226/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Fri, 23 Sep 2016 20:22:26 GMT",
<http://web.archive.org/web/20161006183111/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Thu, 06 Oct 2016 18:31:11 GMT",
<http://web.archive.org/web/20161011212255/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Tue, 11 Oct 2016 21:22:55 GMT",
<http://web.archive.org/web/20161019170836/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 19 Oct 2016 17:08:36 GMT",
<http://web.archive.org/web/20161029002125/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sat, 29 Oct 2016 00:21:25 GMT",
<http://web.archive.org/web/20161231024627/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sat, 31 Dec 2016 02:46:27 GMT",
<http://web.archive.org/web/20181005202830/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Fri, 05 Oct 2018 20:28:30 GMT",
<http://web.archive.org/web/20181017153614/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 17 Oct 2018 15:36:14 GMT",
<http://web.archive.org/web/20181023205303/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Tue, 23 Oct 2018 20:53:03 GMT",
<http://web.archive.org/web/20181106171714/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Tue, 06 Nov 2018 17:17:14 GMT",
<http://web.archive.org/web/20191229221719/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sun, 29 Dec 2019 22:17:19 GMT",
<http://web.archive.org/web/20200711122956/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sat, 11 Jul 2020 12:29:56 GMT",
<http://web.archive.org/web/20200813175158/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Thu, 13 Aug 2020 17:51:58 GMT",
<http://web.archive.org/web/20200817031203/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Mon, 17 Aug 2020 03:12:03 GMT",
<http://web.archive.org/web/20200928193317/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Mon, 28 Sep 2020 19:33:17 GMT",
<http://web.archive.org/web/20201005080124/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Mon, 05 Oct 2020 08:01:24 GMT",
<http://web.archive.org/web/20201031050154/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sat, 31 Oct 2020 05:01:54 GMT",
<http://web.archive.org/web/20201111213728/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 11 Nov 2020 21:37:28 GMT",
<http://web.archive.org/web/20201111213740/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 11 Nov 2020 21:37:40 GMT",
<http://web.archive.org/web/20201111213741/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 11 Nov 2020 21:37:41 GMT",
<http://web.archive.org/web/20201117012706/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Tue, 17 Nov 2020 01:27:06 GMT",
<http://web.archive.org/web/20201125030643/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Wed, 25 Nov 2020 03:06:43 GMT",
<http://web.archive.org/web/20201213064737/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sun, 13 Dec 2020 06:47:37 GMT",
<http://web.archive.org/web/20210508225752/https://act.myngp.com/Forms/-8980169569814116608>; rel="memento"; datetime="Sat, 08 May 2021 22:57:52 GMT",
