<https://secure.winred.com/nicolemalliotakis/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/nicolemalliotakis/donate>; rel="self"; type="application/link-format"; from="Wed, 04 Dec 2019 02:19:11 GMT",
<http://web.archive.org/web/https://secure.winred.com/nicolemalliotakis/donate>; rel="timegate",
<http://web.archive.org/web/20191204021911/https://secure.winred.com/nicolemalliotakis/donate>; rel="first memento"; datetime="Wed, 04 Dec 2019 02:19:11 GMT",
<http://web.archive.org/web/20200420190333/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Mon, 20 Apr 2020 19:03:33 GMT",
<http://web.archive.org/web/20200618050327/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Thu, 18 Jun 2020 05:03:27 GMT",
<http://web.archive.org/web/20200711042038/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sat, 11 Jul 2020 04:20:38 GMT",
<http://web.archive.org/web/20200807092918/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Fri, 07 Aug 2020 09:29:18 GMT",
<http://web.archive.org/web/20200809051415/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sun, 09 Aug 2020 05:14:15 GMT",
<http://web.archive.org/web/20200927103930/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 10:39:30 GMT",
<http://web.archive.org/web/20201005081651/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 08:16:51 GMT",
<http://web.archive.org/web/20201021131414/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Wed, 21 Oct 2020 13:14:14 GMT",
<http://web.archive.org/web/20201103105725/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 10:57:25 GMT",
<http://web.archive.org/web/20201103113032/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 11:30:32 GMT",
<http://web.archive.org/web/20201106073735/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:37:35 GMT",
<http://web.archive.org/web/20201106124845/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:48:45 GMT",
<http://web.archive.org/web/20201108080533/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 08:05:33 GMT",
<http://web.archive.org/web/20201109201123/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:11:23 GMT",
<http://web.archive.org/web/20201111181127/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 11 Nov 2020 18:11:27 GMT",
<http://web.archive.org/web/20201111181140/https://secure.winred.com/nicolemalliotakis/donate/>; rel="memento"; datetime="Wed, 11 Nov 2020 18:11:40 GMT",
<http://web.archive.org/web/20201112013323/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Thu, 12 Nov 2020 01:33:23 GMT",
<http://web.archive.org/web/20201114224613/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 22:46:13 GMT",
<http://web.archive.org/web/20201115084250/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 08:42:50 GMT",
<http://web.archive.org/web/20201117024309/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 02:43:09 GMT",
<http://web.archive.org/web/20201117030806/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 03:08:06 GMT",
<http://web.archive.org/web/20201117225827/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 22:58:27 GMT",
<http://web.archive.org/web/20201118074524/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 07:45:24 GMT",
<http://web.archive.org/web/20201118075539/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 07:55:39 GMT",
<http://web.archive.org/web/20201118075636/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 07:56:36 GMT",
<http://web.archive.org/web/20201118075640/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 07:56:40 GMT",
<http://web.archive.org/web/20201118075747/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 07:57:47 GMT",
<http://web.archive.org/web/20201118075806/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 07:58:06 GMT",
<http://web.archive.org/web/20201118080702/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 08:07:02 GMT",
<http://web.archive.org/web/20201118080704/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 08:07:04 GMT",
<http://web.archive.org/web/20201118081322/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 08:13:22 GMT",
<http://web.archive.org/web/20201118083819/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 08:38:19 GMT",
<http://web.archive.org/web/20201118121237/https://secure.winred.com/nicolemalliotakis/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 12:12:37 GMT",
