<https://secure.actblue.com/donate/mrfcwebsite>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/mrfcwebsite>; rel="self"; type="application/link-format"; from="Sat, 16 May 2020 21:41:49 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/mrfcwebsite>; rel="timegate",
<http://web.archive.org/web/20200516214149/https://secure.actblue.com/donate/mrfcwebsite>; rel="first memento"; datetime="Sat, 16 May 2020 21:41:49 GMT",
<http://web.archive.org/web/20200817031500/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Mon, 17 Aug 2020 03:15:00 GMT",
<http://web.archive.org/web/20201004030008/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sun, 04 Oct 2020 03:00:08 GMT",
<http://web.archive.org/web/20201004030008/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sun, 04 Oct 2020 03:00:08 GMT",
<http://web.archive.org/web/20201004030009/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sun, 04 Oct 2020 03:00:09 GMT",
<http://web.archive.org/web/20201023203747/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Fri, 23 Oct 2020 20:37:47 GMT",
<http://web.archive.org/web/20201029073241/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Thu, 29 Oct 2020 07:32:41 GMT",
<http://web.archive.org/web/20201029180858/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Thu, 29 Oct 2020 18:08:58 GMT",
<http://web.archive.org/web/20201101141755/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sun, 01 Nov 2020 14:17:55 GMT",
<http://web.archive.org/web/20201111212644/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Wed, 11 Nov 2020 21:26:44 GMT",
<http://web.archive.org/web/20201112000025/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Thu, 12 Nov 2020 00:00:25 GMT",
<http://web.archive.org/web/20201114212533/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sat, 14 Nov 2020 21:25:33 GMT",
<http://web.archive.org/web/20201118023508/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Wed, 18 Nov 2020 02:35:08 GMT",
<http://web.archive.org/web/20201205190344/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sat, 05 Dec 2020 19:03:44 GMT",
<http://web.archive.org/web/20201212105543/https://secure.actblue.com/donate/mrfcwebsite>; rel="memento"; datetime="Sat, 12 Dec 2020 10:55:43 GMT",
