<https://secure.anedot.com/cummings-for-congress/donatege>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.anedot.com/cummings-for-congress/donatege>; rel="self"; type="application/link-format"; from="Fri, 07 Aug 2020 21:45:55 GMT",
<http://web.archive.org/web/https://secure.anedot.com/cummings-for-congress/donatege>; rel="timegate",
<http://web.archive.org/web/20200807214555/https://secure.anedot.com/cummings-for-congress/donatege>; rel="first memento"; datetime="Fri, 07 Aug 2020 21:45:55 GMT",
<http://web.archive.org/web/20200817031618/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Mon, 17 Aug 2020 03:16:18 GMT",
<http://web.archive.org/web/20200924045315/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Thu, 24 Sep 2020 04:53:15 GMT",
<http://web.archive.org/web/20201026010707/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Mon, 26 Oct 2020 01:07:07 GMT",
<http://web.archive.org/web/20201101021839/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sun, 01 Nov 2020 02:18:39 GMT",
<http://web.archive.org/web/20201108222041/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sun, 08 Nov 2020 22:20:41 GMT",
<http://web.archive.org/web/20201111181346/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Wed, 11 Nov 2020 18:13:46 GMT",
<http://web.archive.org/web/20201202062523/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Wed, 02 Dec 2020 06:25:23 GMT",
<http://web.archive.org/web/20201212175232/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sat, 12 Dec 2020 17:52:32 GMT",
<http://web.archive.org/web/20201229192820/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Tue, 29 Dec 2020 19:28:20 GMT",
<http://web.archive.org/web/20201229192832/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Tue, 29 Dec 2020 19:28:32 GMT",
<http://web.archive.org/web/20210226125027/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Fri, 26 Feb 2021 12:50:27 GMT",
<http://web.archive.org/web/20210402032739/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Fri, 02 Apr 2021 03:27:39 GMT",
<http://web.archive.org/web/20210417125724/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sat, 17 Apr 2021 12:57:24 GMT",
<http://web.archive.org/web/20210506121651/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Thu, 06 May 2021 12:16:51 GMT",
<http://web.archive.org/web/20210613134747/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sun, 13 Jun 2021 13:47:47 GMT",
<http://web.archive.org/web/20211017072920/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sun, 17 Oct 2021 07:29:20 GMT",
<http://web.archive.org/web/20211017211158/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Sun, 17 Oct 2021 21:11:58 GMT",
<http://web.archive.org/web/20211208043034/https://secure.anedot.com/cummings-for-congress/donatege>; rel="memento"; datetime="Wed, 08 Dec 2021 04:30:34 GMT",
