<https://secure.actblue.com/donate/jb-web-finalstretch>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="self"; type="application/link-format"; from="Thu, 11 Jun 2020 12:26:02 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="timegate",
<http://web.archive.org/web/20200611122602/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="first memento"; datetime="Thu, 11 Jun 2020 12:26:02 GMT",
<http://web.archive.org/web/20200617161247/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 17 Jun 2020 16:12:47 GMT",
<http://web.archive.org/web/20200619013246/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 19 Jun 2020 01:32:46 GMT",
<http://web.archive.org/web/20200624220058/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 24 Jun 2020 22:00:58 GMT",
<http://web.archive.org/web/20200629173614/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Mon, 29 Jun 2020 17:36:14 GMT",
<http://web.archive.org/web/20200721030256/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Tue, 21 Jul 2020 03:02:56 GMT",
<http://web.archive.org/web/20200721030402/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Tue, 21 Jul 2020 03:04:02 GMT",
<http://web.archive.org/web/20200721052136/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Tue, 21 Jul 2020 05:21:36 GMT",
<http://web.archive.org/web/20200812055058/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 12 Aug 2020 05:50:58 GMT",
<http://web.archive.org/web/20200817031750/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Mon, 17 Aug 2020 03:17:50 GMT",
<http://web.archive.org/web/20200906154728/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 06 Sep 2020 15:47:28 GMT",
<http://web.archive.org/web/20200919101652/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sat, 19 Sep 2020 10:16:52 GMT",
<http://web.archive.org/web/20201004040940/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 04 Oct 2020 04:09:40 GMT",
<http://web.archive.org/web/20201024191852/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sat, 24 Oct 2020 19:18:52 GMT",
<http://web.archive.org/web/20201101105432/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sun, 01 Nov 2020 10:54:32 GMT",
<http://web.archive.org/web/20201111215359/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Wed, 11 Nov 2020 21:53:59 GMT",
<http://web.archive.org/web/20201116205505/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Mon, 16 Nov 2020 20:55:05 GMT",
<http://web.archive.org/web/20201205192741/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sat, 05 Dec 2020 19:27:41 GMT",
<http://web.archive.org/web/20201212111123/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Sat, 12 Dec 2020 11:11:23 GMT",
<http://web.archive.org/web/20201224141738/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 24 Dec 2020 14:17:38 GMT",
<http://web.archive.org/web/20201231162710/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 31 Dec 2020 16:27:10 GMT",
<http://web.archive.org/web/20210108111107/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 08 Jan 2021 11:11:07 GMT",
<http://web.archive.org/web/20210115144818/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 15 Jan 2021 14:48:18 GMT",
<http://web.archive.org/web/20210128123110/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 28 Jan 2021 12:31:10 GMT",
<http://web.archive.org/web/20210204085830/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 04 Feb 2021 08:58:30 GMT",
<http://web.archive.org/web/20210205005028/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Fri, 05 Feb 2021 00:50:28 GMT",
<http://web.archive.org/web/20210211210355/https://secure.actblue.com/donate/jb-web-finalstretch>; rel="memento"; datetime="Thu, 11 Feb 2021 21:03:55 GMT",
