<https://secure.actblue.com/donate/supportspm>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/supportspm>; rel="self"; type="application/link-format"; from="Wed, 03 Jun 2020 01:10:06 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/supportspm>; rel="timegate",
<http://web.archive.org/web/20200603011006/https://secure.actblue.com/donate/supportspm>; rel="first memento"; datetime="Wed, 03 Jun 2020 01:10:06 GMT",
<http://web.archive.org/web/20200817031753/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Mon, 17 Aug 2020 03:17:53 GMT",
<http://web.archive.org/web/20201004174157/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Sun, 04 Oct 2020 17:41:57 GMT",
<http://web.archive.org/web/20201023224511/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Fri, 23 Oct 2020 22:45:11 GMT",
<http://web.archive.org/web/20201101001310/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Sun, 01 Nov 2020 00:13:10 GMT",
<http://web.archive.org/web/20201111195627/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Wed, 11 Nov 2020 19:56:27 GMT",
<http://web.archive.org/web/20201120230421/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Fri, 20 Nov 2020 23:04:21 GMT",
<http://web.archive.org/web/20201121171715/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Sat, 21 Nov 2020 17:17:15 GMT",
<http://web.archive.org/web/20201205194342/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Sat, 05 Dec 2020 19:43:42 GMT",
<http://web.archive.org/web/20201212112310/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Sat, 12 Dec 2020 11:23:10 GMT",
<http://web.archive.org/web/20210509074802/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Sun, 09 May 2021 07:48:02 GMT",
<http://web.archive.org/web/20210513112823/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Thu, 13 May 2021 11:28:23 GMT",
<http://web.archive.org/web/20210520201755/http://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Thu, 20 May 2021 20:17:55 GMT",
<http://web.archive.org/web/20210916001546/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Thu, 16 Sep 2021 00:15:46 GMT",
<http://web.archive.org/web/20211019145706/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Tue, 19 Oct 2021 14:57:06 GMT",
<http://web.archive.org/web/20211021163007/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Thu, 21 Oct 2021 16:30:07 GMT",
<http://web.archive.org/web/20211027212754/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Wed, 27 Oct 2021 21:27:54 GMT",
<http://web.archive.org/web/20211206210553/https://secure.actblue.com/donate/supportspm>; rel="memento"; datetime="Mon, 06 Dec 2021 21:05:53 GMT",
