<https://secure.winred.com/joy-for-ny/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/joy-for-ny/donate>; rel="self"; type="application/link-format"; from="Mon, 20 Apr 2020 07:40:18 GMT",
<http://web.archive.org/web/https://secure.winred.com/joy-for-ny/donate>; rel="timegate",
<http://web.archive.org/web/20200420074018/https://secure.winred.com/joy-for-ny/donate>; rel="first memento"; datetime="Mon, 20 Apr 2020 07:40:18 GMT",
<http://web.archive.org/web/20200511190725/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Mon, 11 May 2020 19:07:25 GMT",
<http://web.archive.org/web/20200817031915/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 03:19:15 GMT",
<http://web.archive.org/web/20200919154034/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Sat, 19 Sep 2020 15:40:34 GMT",
<http://web.archive.org/web/20201005070436/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 07:04:36 GMT",
<http://web.archive.org/web/20201005083354/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 08:33:54 GMT",
<http://web.archive.org/web/20201026063016/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Mon, 26 Oct 2020 06:30:16 GMT",
<http://web.archive.org/web/20201027090621/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Tue, 27 Oct 2020 09:06:21 GMT",
<http://web.archive.org/web/20201111181757/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Wed, 11 Nov 2020 18:17:57 GMT",
<http://web.archive.org/web/20201111181803/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Wed, 11 Nov 2020 18:18:03 GMT",
<http://web.archive.org/web/20201117115826/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 11:58:26 GMT",
<http://web.archive.org/web/20201120035045/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Fri, 20 Nov 2020 03:50:45 GMT",
<http://web.archive.org/web/20201129043027/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Sun, 29 Nov 2020 04:30:27 GMT",
<http://web.archive.org/web/20201213070215/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:02:15 GMT",
<http://web.archive.org/web/20210125005125/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 00:51:25 GMT",
<http://web.archive.org/web/20210417081453/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 08:14:53 GMT",
<http://web.archive.org/web/20210508224442/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Sat, 08 May 2021 22:44:42 GMT",
<http://web.archive.org/web/20211126032555/https://secure.winred.com/joy-for-ny/donate>; rel="memento"; datetime="Fri, 26 Nov 2021 03:25:55 GMT",
