<https://secure.actblue.com/donate/mcmurray2020>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/mcmurray2020>; rel="self"; type="application/link-format"; from="Mon, 17 Aug 2020 03:21:16 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/mcmurray2020>; rel="timegate",
<http://web.archive.org/web/20200817032116/https://secure.actblue.com/donate/mcmurray2020>; rel="first memento"; datetime="Mon, 17 Aug 2020 03:21:16 GMT",
<http://web.archive.org/web/20201001171445/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Thu, 01 Oct 2020 17:14:45 GMT",
<http://web.archive.org/web/20201018041954/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sun, 18 Oct 2020 04:19:54 GMT",
<http://web.archive.org/web/20201023225838/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Fri, 23 Oct 2020 22:58:38 GMT",
<http://web.archive.org/web/20201028205032/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 28 Oct 2020 20:50:32 GMT",
<http://web.archive.org/web/20201101002404/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sun, 01 Nov 2020 00:24:04 GMT",
<http://web.archive.org/web/20201101055531/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sun, 01 Nov 2020 05:55:31 GMT",
<http://web.archive.org/web/20201101110249/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sun, 01 Nov 2020 11:02:49 GMT",
<http://web.archive.org/web/20201101135538/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sun, 01 Nov 2020 13:55:38 GMT",
<http://web.archive.org/web/20201111202317/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 11 Nov 2020 20:23:17 GMT",
<http://web.archive.org/web/20201111202321/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 11 Nov 2020 20:23:21 GMT",
<http://web.archive.org/web/20201118071228/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 18 Nov 2020 07:12:28 GMT",
<http://web.archive.org/web/20201118110726/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 18 Nov 2020 11:07:26 GMT",
<http://web.archive.org/web/20201118111113/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 18 Nov 2020 11:11:13 GMT",
<http://web.archive.org/web/20201118111114/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 18 Nov 2020 11:11:14 GMT",
<http://web.archive.org/web/20201118111720/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 18 Nov 2020 11:17:20 GMT",
<http://web.archive.org/web/20201125023826/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Wed, 25 Nov 2020 02:38:26 GMT",
<http://web.archive.org/web/20201205195801/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sat, 05 Dec 2020 19:58:01 GMT",
<http://web.archive.org/web/20201212113113/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Sat, 12 Dec 2020 11:31:13 GMT",
<http://web.archive.org/web/20210903130702/https://secure.actblue.com/donate/mcmurray2020>; rel="memento"; datetime="Fri, 03 Sep 2021 13:07:02 GMT",
