<https://secure.winred.com/usabrad/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/usabrad/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:48:21 GMT",
<http://web.archive.org/web/https://secure.winred.com/usabrad/donate>; rel="timegate",
<http://web.archive.org/web/20191014024821/https://secure.winred.com/usabrad/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:48:21 GMT",
<http://web.archive.org/web/20191014024944/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Mon, 14 Oct 2019 02:49:44 GMT",
<http://web.archive.org/web/20200812154727/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 15:47:27 GMT",
<http://web.archive.org/web/20200817041453/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 04:14:53 GMT",
<http://web.archive.org/web/20200927114713/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Sun, 27 Sep 2020 11:47:13 GMT",
<http://web.archive.org/web/20201005091311/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 09:13:11 GMT",
<http://web.archive.org/web/20201106073103/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:31:03 GMT",
<http://web.archive.org/web/20201109201044/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:10:44 GMT",
<http://web.archive.org/web/20201115233350/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 23:33:50 GMT",
<http://web.archive.org/web/20201127233634/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Fri, 27 Nov 2020 23:36:34 GMT",
<http://web.archive.org/web/20201213072851/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:28:51 GMT",
<http://web.archive.org/web/20210228041238/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Sun, 28 Feb 2021 04:12:38 GMT",
<http://web.archive.org/web/20210423084752/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 08:47:52 GMT",
<http://web.archive.org/web/20210508080106/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Sat, 08 May 2021 08:01:06 GMT",
<http://web.archive.org/web/20210508215915/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Sat, 08 May 2021 21:59:15 GMT",
<http://web.archive.org/web/20211020164236/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 16:42:36 GMT",
<http://web.archive.org/web/20211021191700/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 19:17:00 GMT",
<http://web.archive.org/web/20211022094843/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 09:48:43 GMT",
<http://web.archive.org/web/20211123052021/https://secure.winred.com/usabrad/donate>; rel="memento"; datetime="Tue, 23 Nov 2021 05:20:21 GMT",
