<https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="self"; type="application/link-format"; from="Mon, 17 Aug 2020 04:15:10 GMT",
<http://web.archive.org/web/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="timegate",
<http://web.archive.org/web/20200817041510/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="first memento"; datetime="Mon, 17 Aug 2020 04:15:10 GMT",
<http://web.archive.org/web/20201005091542/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 09:15:42 GMT",
<http://web.archive.org/web/20201109200610/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:06:10 GMT",
<http://web.archive.org/web/20201109200639/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:06:39 GMT",
<http://web.archive.org/web/20201117185958/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 18:59:58 GMT",
<http://web.archive.org/web/20201117190002/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 19:00:02 GMT",
<http://web.archive.org/web/20201124212100/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 24 Nov 2020 21:21:00 GMT",
<http://web.archive.org/web/20201124212105/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 24 Nov 2020 21:21:05 GMT",
<http://web.archive.org/web/20201201205511/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 20:55:11 GMT",
<http://web.archive.org/web/20201201205515/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 20:55:15 GMT",
<http://web.archive.org/web/20201208223243/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 08 Dec 2020 22:32:43 GMT",
<http://web.archive.org/web/20201208223247/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 08 Dec 2020 22:32:47 GMT",
<http://web.archive.org/web/20201215204221/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 15 Dec 2020 20:42:21 GMT",
<http://web.archive.org/web/20201215204228/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 15 Dec 2020 20:42:28 GMT",
<http://web.archive.org/web/20201222185632/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 22 Dec 2020 18:56:32 GMT",
<http://web.archive.org/web/20201222185637/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 22 Dec 2020 18:56:37 GMT",
<http://web.archive.org/web/20201229200115/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 29 Dec 2020 20:01:15 GMT",
<http://web.archive.org/web/20201229200127/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 29 Dec 2020 20:01:27 GMT",
<http://web.archive.org/web/20210105213935/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 21:39:35 GMT",
<http://web.archive.org/web/20210105213940/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 21:39:40 GMT",
<http://web.archive.org/web/20210105214039/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 05 Jan 2021 21:40:39 GMT",
<http://web.archive.org/web/20210113045400/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Wed, 13 Jan 2021 04:54:00 GMT",
<http://web.archive.org/web/20210113045406/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Wed, 13 Jan 2021 04:54:06 GMT",
<http://web.archive.org/web/20210113045808/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Wed, 13 Jan 2021 04:58:08 GMT",
<http://web.archive.org/web/20210119223208/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 22:32:08 GMT",
<http://web.archive.org/web/20210119223215/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 22:32:15 GMT",
<http://web.archive.org/web/20210119223715/https://secure.winred.com/mark-richardson-committee-to-elect/donate>; rel="memento"; datetime="Tue, 19 Jan 2021 22:37:15 GMT",
