<https://donorbox.org/rob-weber-for-congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://donorbox.org/rob-weber-for-congress>; rel="self"; type="application/link-format"; from="Sat, 08 Aug 2020 11:47:51 GMT",
<http://web.archive.org/web/https://donorbox.org/rob-weber-for-congress>; rel="timegate",
<http://web.archive.org/web/20200808114751/https://donorbox.org/rob-weber-for-congress>; rel="first memento"; datetime="Sat, 08 Aug 2020 11:47:51 GMT",
<http://web.archive.org/web/20200817041728/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Mon, 17 Aug 2020 04:17:28 GMT",
<http://web.archive.org/web/20200923160320/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Wed, 23 Sep 2020 16:03:20 GMT",
<http://web.archive.org/web/20201005092545/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Mon, 05 Oct 2020 09:25:45 GMT",
<http://web.archive.org/web/20201022010928/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Thu, 22 Oct 2020 01:09:28 GMT",
<http://web.archive.org/web/20201109195529/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Mon, 09 Nov 2020 19:55:29 GMT",
<http://web.archive.org/web/20201123170616/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Mon, 23 Nov 2020 17:06:16 GMT",
<http://web.archive.org/web/20201213073401/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Sun, 13 Dec 2020 07:34:01 GMT",
<http://web.archive.org/web/20210128055235/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Thu, 28 Jan 2021 05:52:35 GMT",
<http://web.archive.org/web/20210302020757/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Tue, 02 Mar 2021 02:07:57 GMT",
<http://web.archive.org/web/20210422231131/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Thu, 22 Apr 2021 23:11:31 GMT",
<http://web.archive.org/web/20210509193953/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Sun, 09 May 2021 19:39:53 GMT",
<http://web.archive.org/web/20211017105234/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Sun, 17 Oct 2021 10:52:34 GMT",
<http://web.archive.org/web/20211018015035/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Mon, 18 Oct 2021 01:50:35 GMT",
<http://web.archive.org/web/20211020004516/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Wed, 20 Oct 2021 00:45:16 GMT",
<http://web.archive.org/web/20211020210649/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Wed, 20 Oct 2021 21:06:49 GMT",
<http://web.archive.org/web/20211022054453/https://donorbox.org/rob-weber-for-congress>; rel="memento"; datetime="Fri, 22 Oct 2021 05:44:53 GMT",
