<https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="self"; type="application/link-format"; from="Wed, 14 Aug 2019 02:57:22 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="timegate",
<http://web.archive.org/web/20190814025722/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="first memento"; datetime="Wed, 14 Aug 2019 02:57:22 GMT",
<http://web.archive.org/web/20191129215933/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 29 Nov 2019 21:59:33 GMT",
<http://web.archive.org/web/20191218201649/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Wed, 18 Dec 2019 20:16:49 GMT",
<http://web.archive.org/web/20200404004243/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sat, 04 Apr 2020 00:42:43 GMT",
<http://web.archive.org/web/20200502052442/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sat, 02 May 2020 05:24:42 GMT",
<http://web.archive.org/web/20200521203634/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 21 May 2020 20:36:34 GMT",
<http://web.archive.org/web/20200603201633/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Wed, 03 Jun 2020 20:16:33 GMT",
<http://web.archive.org/web/20200618215208/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 18 Jun 2020 21:52:08 GMT",
<http://web.archive.org/web/20200813233536/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 13 Aug 2020 23:35:36 GMT",
<http://web.archive.org/web/20200817041727/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Mon, 17 Aug 2020 04:17:27 GMT",
<http://web.archive.org/web/20200927212605/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 27 Sep 2020 21:26:05 GMT",
<http://web.archive.org/web/20200928064524/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Mon, 28 Sep 2020 06:45:24 GMT",
<http://web.archive.org/web/20201003221019/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sat, 03 Oct 2020 22:10:19 GMT",
<http://web.archive.org/web/20201004184453/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 04 Oct 2020 18:44:53 GMT",
<http://web.archive.org/web/20201020033202/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Tue, 20 Oct 2020 03:32:02 GMT",
<http://web.archive.org/web/20201023233557/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 23 Oct 2020 23:35:57 GMT",
<http://web.archive.org/web/20201101023013/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 01 Nov 2020 02:30:13 GMT",
<http://web.archive.org/web/20201107201703/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sat, 07 Nov 2020 20:17:03 GMT",
<http://web.archive.org/web/20201109202958/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Mon, 09 Nov 2020 20:29:58 GMT",
<http://web.archive.org/web/20201110184842/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Tue, 10 Nov 2020 18:48:42 GMT",
<http://web.archive.org/web/20201122021630/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sun, 22 Nov 2020 02:16:30 GMT",
<http://web.archive.org/web/20201205204128/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sat, 05 Dec 2020 20:41:28 GMT",
<http://web.archive.org/web/20201212115741/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Sat, 12 Dec 2020 11:57:41 GMT",
<http://web.archive.org/web/20201224141352/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 24 Dec 2020 14:13:52 GMT",
<http://web.archive.org/web/20201231162340/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 31 Dec 2020 16:23:40 GMT",
<http://web.archive.org/web/20210108110154/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 08 Jan 2021 11:01:54 GMT",
<http://web.archive.org/web/20210115143625/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 15 Jan 2021 14:36:25 GMT",
<http://web.archive.org/web/20210128122750/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 28 Jan 2021 12:27:50 GMT",
<http://web.archive.org/web/20210204085442/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 04 Feb 2021 08:54:42 GMT",
<http://web.archive.org/web/20210211205911/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 11 Feb 2021 20:59:11 GMT",
<http://web.archive.org/web/20210218163255/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 18 Feb 2021 16:32:55 GMT",
<http://web.archive.org/web/20210226012822/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 26 Feb 2021 01:28:22 GMT",
<http://web.archive.org/web/20210319123751/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 19 Mar 2021 12:37:51 GMT",
<http://web.archive.org/web/20210325112509/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 25 Mar 2021 11:25:09 GMT",
<http://web.archive.org/web/20210401104716/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Thu, 01 Apr 2021 10:47:16 GMT",
<http://web.archive.org/web/20210409101910/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 09 Apr 2021 10:19:10 GMT",
<http://web.archive.org/web/20210416013329/https://secure.actblue.com/donate/friends-of-desiree-tims>; rel="memento"; datetime="Fri, 16 Apr 2021 01:33:29 GMT",
