<https://secure.winred.com/balderson-for-congress/troybalderson>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="self"; type="application/link-format"; from="Sun, 29 Dec 2019 21:37:21 GMT",
<http://web.archive.org/web/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="timegate",
<http://web.archive.org/web/20191229213721/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="first memento"; datetime="Sun, 29 Dec 2019 21:37:21 GMT",
<http://web.archive.org/web/20200616130537/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Tue, 16 Jun 2020 13:05:37 GMT",
<http://web.archive.org/web/20200812060243/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Wed, 12 Aug 2020 06:02:43 GMT",
<http://web.archive.org/web/20200817041916/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Mon, 17 Aug 2020 04:19:16 GMT",
<http://web.archive.org/web/20200926073156/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sat, 26 Sep 2020 07:31:56 GMT",
<http://web.archive.org/web/20201005094010/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Mon, 05 Oct 2020 09:40:10 GMT",
<http://web.archive.org/web/20201106073104/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Fri, 06 Nov 2020 07:31:04 GMT",
<http://web.archive.org/web/20201106123603/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Fri, 06 Nov 2020 12:36:03 GMT",
<http://web.archive.org/web/20201109193013/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Mon, 09 Nov 2020 19:30:13 GMT",
<http://web.archive.org/web/20201122073513/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sun, 22 Nov 2020 07:35:13 GMT",
<http://web.archive.org/web/20201122075521/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sun, 22 Nov 2020 07:55:21 GMT",
<http://web.archive.org/web/20201122102417/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sun, 22 Nov 2020 10:24:17 GMT",
<http://web.archive.org/web/20201122134501/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sun, 22 Nov 2020 13:45:01 GMT",
<http://web.archive.org/web/20201126235242/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Thu, 26 Nov 2020 23:52:42 GMT",
<http://web.archive.org/web/20201201045718/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Tue, 01 Dec 2020 04:57:18 GMT",
<http://web.archive.org/web/20201213074018/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sun, 13 Dec 2020 07:40:18 GMT",
<http://web.archive.org/web/20210119235154/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Tue, 19 Jan 2021 23:51:54 GMT",
<http://web.archive.org/web/20210331040120/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Wed, 31 Mar 2021 04:01:20 GMT",
<http://web.archive.org/web/20210416005258/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:58 GMT",
<http://web.archive.org/web/20210423072715/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Fri, 23 Apr 2021 07:27:15 GMT",
<http://web.archive.org/web/20210508213732/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Sat, 08 May 2021 21:37:32 GMT",
<http://web.archive.org/web/20210518065858/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Tue, 18 May 2021 06:58:58 GMT",
<http://web.archive.org/web/20211123050253/https://secure.winred.com/balderson-for-congress/troybalderson>; rel="memento"; datetime="Tue, 23 Nov 2021 05:02:53 GMT",
