<https://secure.actblue.com/donate/alaina-shearer-website>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/alaina-shearer-website>; rel="self"; type="application/link-format"; from="Sun, 27 Oct 2019 01:47:32 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/alaina-shearer-website>; rel="timegate",
<http://web.archive.org/web/20191027014732/https://secure.actblue.com/donate/alaina-shearer-website>; rel="first memento"; datetime="Sun, 27 Oct 2019 01:47:32 GMT",
<http://web.archive.org/web/20200429163351/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Wed, 29 Apr 2020 16:33:51 GMT",
<http://web.archive.org/web/20200616132851/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Tue, 16 Jun 2020 13:28:51 GMT",
<http://web.archive.org/web/20200808162006/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sat, 08 Aug 2020 16:20:06 GMT",
<http://web.archive.org/web/20200817041939/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Mon, 17 Aug 2020 04:19:39 GMT",
<http://web.archive.org/web/20200928180245/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Mon, 28 Sep 2020 18:02:45 GMT",
<http://web.archive.org/web/20200929032803/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Tue, 29 Sep 2020 03:28:03 GMT",
<http://web.archive.org/web/20201004184818/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sun, 04 Oct 2020 18:48:18 GMT",
<http://web.archive.org/web/20201006110032/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Tue, 06 Oct 2020 11:00:32 GMT",
<http://web.archive.org/web/20201023233857/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Fri, 23 Oct 2020 23:38:57 GMT",
<http://web.archive.org/web/20201101074134/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sun, 01 Nov 2020 07:41:34 GMT",
<http://web.archive.org/web/20201109203221/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Mon, 09 Nov 2020 20:32:21 GMT",
<http://web.archive.org/web/20201122102412/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sun, 22 Nov 2020 10:24:12 GMT",
<http://web.archive.org/web/20201205204447/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sat, 05 Dec 2020 20:44:47 GMT",
<http://web.archive.org/web/20201212120006/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sat, 12 Dec 2020 12:00:06 GMT",
<http://web.archive.org/web/20201215030021/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Tue, 15 Dec 2020 03:00:21 GMT",
<http://web.archive.org/web/20210126093754/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Tue, 26 Jan 2021 09:37:54 GMT",
<http://web.archive.org/web/20210509070833/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sun, 09 May 2021 07:08:33 GMT",
<http://web.archive.org/web/20210515224154/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Sat, 15 May 2021 22:41:54 GMT",
<http://web.archive.org/web/20211123055838/https://secure.actblue.com/donate/alaina-shearer-website>; rel="memento"; datetime="Tue, 23 Nov 2021 05:58:38 GMT",
