<https://secure.winred.com/hagan-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/hagan-for-congress/donate>; rel="self"; type="application/link-format"; from="Sat, 29 Feb 2020 18:03:02 GMT",
<http://web.archive.org/web/https://secure.winred.com/hagan-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200229180302/https://secure.winred.com/hagan-for-congress/donate>; rel="first memento"; datetime="Sat, 29 Feb 2020 18:03:02 GMT",
<http://web.archive.org/web/20200304175214/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Wed, 04 Mar 2020 17:52:14 GMT",
<http://web.archive.org/web/20200809053238/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Sun, 09 Aug 2020 05:32:38 GMT",
<http://web.archive.org/web/20200817041853/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 04:18:53 GMT",
<http://web.archive.org/web/20200822110248/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Sat, 22 Aug 2020 11:02:48 GMT",
<http://web.archive.org/web/20200924211434/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 21:14:34 GMT",
<http://web.archive.org/web/20201005094249/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 09:42:49 GMT",
<http://web.archive.org/web/20201021101753/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 10:17:53 GMT",
<http://web.archive.org/web/20201029170638/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 17:06:38 GMT",
<http://web.archive.org/web/20201106072240/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:22:40 GMT",
<http://web.archive.org/web/20201106121915/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:19:15 GMT",
<http://web.archive.org/web/20201109201031/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:10:31 GMT",
<http://web.archive.org/web/20201109201056/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:10:56 GMT",
<http://web.archive.org/web/20201114224611/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 22:46:11 GMT",
<http://web.archive.org/web/20201115084246/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 08:42:46 GMT",
<http://web.archive.org/web/20201119132420/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Thu, 19 Nov 2020 13:24:20 GMT",
<http://web.archive.org/web/20201127231509/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Fri, 27 Nov 2020 23:15:09 GMT",
<http://web.archive.org/web/20201213074203/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:42:03 GMT",
<http://web.archive.org/web/20201216185543/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Wed, 16 Dec 2020 18:55:43 GMT",
<http://web.archive.org/web/20210125011109/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 01:11:09 GMT",
<http://web.archive.org/web/20210331040029/https://secure.winred.com/hagan-for-congress/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:00:29 GMT",
