<https://secure.winred.com/davejoyce/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/davejoyce/donate>; rel="self"; type="application/link-format"; from="Wed, 12 Aug 2020 04:08:57 GMT",
<http://web.archive.org/web/https://secure.winred.com/davejoyce/donate>; rel="timegate",
<http://web.archive.org/web/20200812040857/https://secure.winred.com/davejoyce/donate>; rel="first memento"; datetime="Wed, 12 Aug 2020 04:08:57 GMT",
<http://web.archive.org/web/20200926085723/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 08:57:23 GMT",
<http://web.archive.org/web/20201017202323/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sat, 17 Oct 2020 20:23:23 GMT",
<http://web.archive.org/web/20201029173539/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Thu, 29 Oct 2020 17:35:39 GMT",
<http://web.archive.org/web/20201106073102/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:31:02 GMT",
<http://web.archive.org/web/20201106123603/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:36:03 GMT",
<http://web.archive.org/web/20201109200956/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:09:56 GMT",
<http://web.archive.org/web/20201109234829/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 23:48:29 GMT",
<http://web.archive.org/web/20201110003509/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Tue, 10 Nov 2020 00:35:09 GMT",
<http://web.archive.org/web/20201114032329/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 03:23:29 GMT",
<http://web.archive.org/web/20201114042053/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sat, 14 Nov 2020 04:20:53 GMT",
<http://web.archive.org/web/20201115164554/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 16:45:54 GMT",
<http://web.archive.org/web/20201115173125/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 17:31:25 GMT",
<http://web.archive.org/web/20201127233616/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Fri, 27 Nov 2020 23:36:16 GMT",
<http://web.archive.org/web/20201213074345/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:43:45 GMT",
<http://web.archive.org/web/20210125013813/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 01:38:13 GMT",
<http://web.archive.org/web/20210307091045/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sun, 07 Mar 2021 09:10:45 GMT",
<http://web.archive.org/web/20210331040022/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:00:22 GMT",
<http://web.archive.org/web/20210422182743/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Thu, 22 Apr 2021 18:27:43 GMT",
<http://web.archive.org/web/20210508080030/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sat, 08 May 2021 08:00:30 GMT",
<http://web.archive.org/web/20210508213510/https://secure.winred.com/davejoyce/donate>; rel="memento"; datetime="Sat, 08 May 2021 21:35:10 GMT",
