<https://secure.voteanthonygonzalez.com/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.voteanthonygonzalez.com/donate>; rel="self"; type="application/link-format"; from="Mon, 01 Apr 2019 17:43:50 GMT",
<http://web.archive.org/web/https://secure.voteanthonygonzalez.com/donate>; rel="timegate",
<http://web.archive.org/web/20190401174350/https://secure.voteanthonygonzalez.com/donate>; rel="first memento"; datetime="Mon, 01 Apr 2019 17:43:50 GMT",
<http://web.archive.org/web/20200520162641/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Wed, 20 May 2020 16:26:41 GMT",
<http://web.archive.org/web/20200804025319/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Tue, 04 Aug 2020 02:53:19 GMT",
<http://web.archive.org/web/20200817042003/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 04:20:03 GMT",
<http://web.archive.org/web/20200924024146/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 02:41:46 GMT",
<http://web.archive.org/web/20201005095110/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 09:51:10 GMT",
<http://web.archive.org/web/20201021045913/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 04:59:13 GMT",
<http://web.archive.org/web/20201106040503/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 04:05:03 GMT",
<http://web.archive.org/web/20201109201222/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:12:22 GMT",
<http://web.archive.org/web/20201109201533/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 20:15:33 GMT",
<http://web.archive.org/web/20201125025457/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 02:54:57 GMT",
<http://web.archive.org/web/20201205183458/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Sat, 05 Dec 2020 18:34:58 GMT",
<http://web.archive.org/web/20201213074744/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 07:47:44 GMT",
<http://web.archive.org/web/20210114184212/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Thu, 14 Jan 2021 18:42:12 GMT",
<http://web.archive.org/web/20210115205222/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Fri, 15 Jan 2021 20:52:22 GMT",
<http://web.archive.org/web/20210126185727/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Tue, 26 Jan 2021 18:57:27 GMT",
<http://web.archive.org/web/20210420052100/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Tue, 20 Apr 2021 05:21:00 GMT",
<http://web.archive.org/web/20210508212554/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Sat, 08 May 2021 21:25:54 GMT",
<http://web.archive.org/web/20210509050653/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Sun, 09 May 2021 05:06:53 GMT",
<http://web.archive.org/web/20210612144937/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Sat, 12 Jun 2021 14:49:37 GMT",
<http://web.archive.org/web/20210627000911/http://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Sun, 27 Jun 2021 00:09:11 GMT",
<http://web.archive.org/web/20210712155138/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Mon, 12 Jul 2021 15:51:38 GMT",
<http://web.archive.org/web/20210714005421/https://secure.voteanthonygonzalez.com/donate>; rel="memento"; datetime="Wed, 14 Jul 2021 00:54:21 GMT",
