<https://secure.actblue.com/donate/midyett-2020-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/midyett-2020-1>; rel="self"; type="application/link-format"; from="Thu, 03 Sep 2020 15:15:50 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/midyett-2020-1>; rel="timegate",
<http://web.archive.org/web/20200903151550/https://secure.actblue.com/donate/midyett-2020-1>; rel="first memento"; datetime="Thu, 03 Sep 2020 15:15:50 GMT",
<http://web.archive.org/web/20200903222038/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Thu, 03 Sep 2020 22:20:38 GMT",
<http://web.archive.org/web/20200928063344/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:33:44 GMT",
<http://web.archive.org/web/20201023234801/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Fri, 23 Oct 2020 23:48:01 GMT",
<http://web.archive.org/web/20201101040011/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Sun, 01 Nov 2020 04:00:11 GMT",
<http://web.archive.org/web/20201109191720/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Mon, 09 Nov 2020 19:17:20 GMT",
<http://web.archive.org/web/20201114210445/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Sat, 14 Nov 2020 21:04:45 GMT",
<http://web.archive.org/web/20201117211454/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Tue, 17 Nov 2020 21:14:54 GMT",
<http://web.archive.org/web/20201120235758/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Fri, 20 Nov 2020 23:57:58 GMT",
<http://web.archive.org/web/20201121020454/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Sat, 21 Nov 2020 02:04:54 GMT",
<http://web.archive.org/web/20201122181604/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Sun, 22 Nov 2020 18:16:04 GMT",
<http://web.archive.org/web/20201205205515/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Sat, 05 Dec 2020 20:55:15 GMT",
<http://web.archive.org/web/20201212120555/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Sat, 12 Dec 2020 12:05:55 GMT",
<http://web.archive.org/web/20210105210807/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Tue, 05 Jan 2021 21:08:07 GMT",
<http://web.archive.org/web/20210105210809/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Tue, 05 Jan 2021 21:08:09 GMT",
<http://web.archive.org/web/20210113013611/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Wed, 13 Jan 2021 01:36:11 GMT",
<http://web.archive.org/web/20210113013628/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Wed, 13 Jan 2021 01:36:28 GMT",
<http://web.archive.org/web/20210119221230/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Tue, 19 Jan 2021 22:12:30 GMT",
<http://web.archive.org/web/20210119221231/https://secure.actblue.com/donate/midyett-2020-1>; rel="memento"; datetime="Tue, 19 Jan 2021 22:12:31 GMT",
