<https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com%2Fthank_you&ver=2>; rel="self"; type="application/link-format"; from="Tue, 19 Jul 2016 12:56:53 GMT",
<http://web.archive.org/web/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="timegate",
<http://web.archive.org/web/20160719125653/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="first memento"; datetime="Tue, 19 Jul 2016 12:56:53 GMT",
<http://web.archive.org/web/20160801133420/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Mon, 01 Aug 2016 13:34:20 GMT",
<http://web.archive.org/web/20160923202440/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Fri, 23 Sep 2016 20:24:40 GMT",
<http://web.archive.org/web/20161006183514/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Thu, 06 Oct 2016 18:35:14 GMT",
<http://web.archive.org/web/20161011211959/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Tue, 11 Oct 2016 21:19:59 GMT",
<http://web.archive.org/web/20161019165534/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Wed, 19 Oct 2016 16:55:34 GMT",
<http://web.archive.org/web/20161029000711/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Sat, 29 Oct 2016 00:07:11 GMT",
<http://web.archive.org/web/20181005203328/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Fri, 05 Oct 2018 20:33:28 GMT",
<http://web.archive.org/web/20181017150824/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Wed, 17 Oct 2018 15:08:24 GMT",
<http://web.archive.org/web/20181025115220/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Thu, 25 Oct 2018 11:52:20 GMT",
<http://web.archive.org/web/20200629155527/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Mon, 29 Jun 2020 15:55:27 GMT",
<http://web.archive.org/web/20200817044356/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Mon, 17 Aug 2020 04:43:56 GMT",
<http://web.archive.org/web/20201005095345/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3a%2f%2fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Mon, 05 Oct 2020 09:53:45 GMT",
<http://web.archive.org/web/20201022094739/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3A%2F%2Fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Thu, 22 Oct 2020 09:47:39 GMT",
<http://web.archive.org/web/20201031051317/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3A%2F%2Fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Sat, 31 Oct 2020 05:13:17 GMT",
<http://web.archive.org/web/20210331035731/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3A%2F%2Fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Wed, 31 Mar 2021 03:57:31 GMT",
<http://web.archive.org/web/20210417211342/https://www.trailblz.info/ColeTom/Donations.aspx?rdif=http%3A%2F%2Fwww.tomcoleforcongress.com/thank_you&ver=2>; rel="memento"; datetime="Sat, 17 Apr 2021 21:13:42 GMT",
