<https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="self"; type="application/link-format"; from="Wed, 12 Aug 2020 06:29:32 GMT",
<http://web.archive.org/web/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200812062932/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="first memento"; datetime="Wed, 12 Aug 2020 06:29:32 GMT",
<http://web.archive.org/web/20200817045557/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 04:55:57 GMT",
<http://web.archive.org/web/20201001075604/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 07:56:04 GMT",
<http://web.archive.org/web/20201030071901/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 07:19:01 GMT",
<http://web.archive.org/web/20201030225923/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 22:59:23 GMT",
<http://web.archive.org/web/20201030225951/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 22:59:51 GMT",
<http://web.archive.org/web/20201030230019/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 23:00:19 GMT",
<http://web.archive.org/web/20201128045231/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 04:52:31 GMT",
<http://web.archive.org/web/20201213080621/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:06:21 GMT",
<http://web.archive.org/web/20210101033305/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 03:33:05 GMT",
<http://web.archive.org/web/20210101033307/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Fri, 01 Jan 2021 03:33:07 GMT",
<http://web.archive.org/web/20210117121403/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 12:14:03 GMT",
<http://web.archive.org/web/20210131202043/https://secure.winred.com/joanna-harbour-for-congress/donate>; rel="memento"; datetime="Sun, 31 Jan 2021 20:20:43 GMT",
