<https://secure.winred.com/alek-for-oregon/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/alek-for-oregon/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:20 GMT",
<http://web.archive.org/web/https://secure.winred.com/alek-for-oregon/donate>; rel="timegate",
<http://web.archive.org/web/20191014024720/https://secure.winred.com/alek-for-oregon/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:20 GMT",
<http://web.archive.org/web/20191014024823/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 14 Oct 2019 02:48:23 GMT",
<http://web.archive.org/web/20200514154052/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Thu, 14 May 2020 15:40:52 GMT",
<http://web.archive.org/web/20200516205428/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 16 May 2020 20:54:28 GMT",
<http://web.archive.org/web/20200601204419/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 01 Jun 2020 20:44:19 GMT",
<http://web.archive.org/web/20200601213012/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 01 Jun 2020 21:30:12 GMT",
<http://web.archive.org/web/20200614035910/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sun, 14 Jun 2020 03:59:10 GMT",
<http://web.archive.org/web/20200717032348/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Fri, 17 Jul 2020 03:23:48 GMT",
<http://web.archive.org/web/20200809055453/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sun, 09 Aug 2020 05:54:53 GMT",
<http://web.archive.org/web/20200810050849/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 10 Aug 2020 05:08:49 GMT",
<http://web.archive.org/web/20200817045659/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 04:56:59 GMT",
<http://web.archive.org/web/20201001015206/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 01:52:06 GMT",
<http://web.archive.org/web/20201003142307/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 03 Oct 2020 14:23:07 GMT",
<http://web.archive.org/web/20201005100546/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 10:05:46 GMT",
<http://web.archive.org/web/20201017141258/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 17 Oct 2020 14:12:58 GMT",
<http://web.archive.org/web/20201031011833/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 01:18:33 GMT",
<http://web.archive.org/web/20201031011853/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 01:18:53 GMT",
<http://web.archive.org/web/20201031011922/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 01:19:22 GMT",
<http://web.archive.org/web/20201031012428/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 31 Oct 2020 01:24:28 GMT",
<http://web.archive.org/web/20201102031153/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 03:11:53 GMT",
<http://web.archive.org/web/20201103004621/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 00:46:21 GMT",
<http://web.archive.org/web/20201107184538/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 18:45:38 GMT",
<http://web.archive.org/web/20201117201720/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 20:17:20 GMT",
<http://web.archive.org/web/20201118004118/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Wed, 18 Nov 2020 00:41:18 GMT",
<http://web.archive.org/web/20201123193826/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Mon, 23 Nov 2020 19:38:26 GMT",
<http://web.archive.org/web/20201126191458/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Thu, 26 Nov 2020 19:14:58 GMT",
<http://web.archive.org/web/20201213080750/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:07:50 GMT",
<http://web.archive.org/web/20210103101037/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Sun, 03 Jan 2021 10:10:37 GMT",
<http://web.archive.org/web/20210127140354/https://secure.winred.com/alek-for-oregon/donate>; rel="memento"; datetime="Wed, 27 Jan 2021 14:03:54 GMT",
