<https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:48:40 GMT",
<http://web.archive.org/web/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20191014024840/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:48:40 GMT",
<http://web.archive.org/web/20191014025010/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Mon, 14 Oct 2019 02:50:10 GMT",
<http://web.archive.org/web/20200812041625/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 04:16:25 GMT",
<http://web.archive.org/web/20200817051352/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 05:13:52 GMT",
<http://web.archive.org/web/20200926090713/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 09:07:13 GMT",
<http://web.archive.org/web/20201005101016/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 10:10:16 GMT",
<http://web.archive.org/web/20201015115520/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Thu, 15 Oct 2020 11:55:20 GMT",
<http://web.archive.org/web/20201018190752/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Sun, 18 Oct 2020 19:07:52 GMT",
<http://web.archive.org/web/20201102074312/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Mon, 02 Nov 2020 07:43:12 GMT",
<http://web.archive.org/web/20201103092136/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 09:21:36 GMT",
<http://web.archive.org/web/20201107034411/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 03:44:11 GMT",
<http://web.archive.org/web/20201109185948/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 18:59:48 GMT",
<http://web.archive.org/web/20201109190545/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 19:05:45 GMT",
<http://web.archive.org/web/20201128053745/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Sat, 28 Nov 2020 05:37:45 GMT",
<http://web.archive.org/web/20201213080849/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:08:49 GMT",
<http://web.archive.org/web/20210121214218/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Thu, 21 Jan 2021 21:42:18 GMT",
<http://web.archive.org/web/20210303212830/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Wed, 03 Mar 2021 21:28:30 GMT",
<http://web.archive.org/web/20210505223906/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Wed, 05 May 2021 22:39:06 GMT",
<http://web.archive.org/web/20210508210517/https://secure.winred.com/brian-fitzpatrick-for-congress/donate>; rel="memento"; datetime="Sat, 08 May 2021 21:05:17 GMT",
