<https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="self"; type="application/link-format"; from="Mon, 04 Mar 2019 17:55:45 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="timegate",
<http://web.archive.org/web/20190304175545/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="first memento"; datetime="Mon, 04 Mar 2019 17:55:45 GMT",
<http://web.archive.org/web/20190416015600/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Tue, 16 Apr 2019 01:56:00 GMT",
<http://web.archive.org/web/20190508050608/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Wed, 08 May 2019 05:06:08 GMT",
<http://web.archive.org/web/20190508085713/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Wed, 08 May 2019 08:57:13 GMT",
<http://web.archive.org/web/20200713124306/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Mon, 13 Jul 2020 12:43:06 GMT",
<http://web.archive.org/web/20200928065206/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Mon, 28 Sep 2020 06:52:06 GMT",
<http://web.archive.org/web/20201004191758/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 19:17:58 GMT",
<http://web.archive.org/web/20201004191758/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Sun, 04 Oct 2020 19:17:58 GMT",
<http://web.archive.org/web/20201024000435/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Sat, 24 Oct 2020 00:04:35 GMT",
<http://web.archive.org/web/20201212121927/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Sat, 12 Dec 2020 12:19:27 GMT",
<http://web.archive.org/web/20210509064235/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Sun, 09 May 2021 06:42:35 GMT",
<http://web.archive.org/web/20210526095403/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Wed, 26 May 2021 09:54:03 GMT",
<http://web.archive.org/web/20211006044004/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Wed, 06 Oct 2021 04:40:04 GMT",
<http://web.archive.org/web/20220122162552/https://secure.actblue.com/donate/chrissy-houlahan-for-congress-1>; rel="memento"; datetime="Sat, 22 Jan 2022 16:25:52 GMT",
