<https://secure.winred.com/bognet-for-congress/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/bognet-for-congress/donate>; rel="self"; type="application/link-format"; from="Sun, 02 Feb 2020 07:41:37 GMT",
<http://web.archive.org/web/https://secure.winred.com/bognet-for-congress/donate>; rel="timegate",
<http://web.archive.org/web/20200202074137/https://secure.winred.com/bognet-for-congress/donate>; rel="first memento"; datetime="Sun, 02 Feb 2020 07:41:37 GMT",
<http://web.archive.org/web/20200514045726/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Thu, 14 May 2020 04:57:26 GMT",
<http://web.archive.org/web/20200521043907/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Thu, 21 May 2020 04:39:07 GMT",
<http://web.archive.org/web/20200602105932/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Tue, 02 Jun 2020 10:59:32 GMT",
<http://web.archive.org/web/20200618184642/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Thu, 18 Jun 2020 18:46:42 GMT",
<http://web.archive.org/web/20200710140859/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 10 Jul 2020 14:08:59 GMT",
<http://web.archive.org/web/20200812043229/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 04:32:29 GMT",
<http://web.archive.org/web/20200817051615/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 05:16:15 GMT",
<http://web.archive.org/web/20200911153421/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 11 Sep 2020 15:34:21 GMT",
<http://web.archive.org/web/20200926092751/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sat, 26 Sep 2020 09:27:51 GMT",
<http://web.archive.org/web/20201104045310/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 04 Nov 2020 04:53:10 GMT",
<http://web.archive.org/web/20201106070823/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:08:23 GMT",
<http://web.archive.org/web/20201106120653/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:06:53 GMT",
<http://web.archive.org/web/20201107005828/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 00:58:28 GMT",
<http://web.archive.org/web/20201107005834/http://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 00:58:34 GMT",
<http://web.archive.org/web/20201107005952/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sat, 07 Nov 2020 00:59:52 GMT",
<http://web.archive.org/web/20201108115252/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sun, 08 Nov 2020 11:52:52 GMT",
<http://web.archive.org/web/20201109092139/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 09:21:39 GMT",
<http://web.archive.org/web/20201109092205/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 09:22:05 GMT",
<http://web.archive.org/web/20201116093729/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:37:29 GMT",
<http://web.archive.org/web/20201116094722/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Mon, 16 Nov 2020 09:47:22 GMT",
<http://web.archive.org/web/20201117184206/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 18:42:06 GMT",
<http://web.archive.org/web/20201125115752/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 11:57:52 GMT",
<http://web.archive.org/web/20201213082116/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:21:16 GMT",
<http://web.archive.org/web/20210106203141/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 06 Jan 2021 20:31:41 GMT",
<http://web.archive.org/web/20210106203142/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 06 Jan 2021 20:31:42 GMT",
<http://web.archive.org/web/20210117133655/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sun, 17 Jan 2021 13:36:55 GMT",
<http://web.archive.org/web/20210305140659/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 05 Mar 2021 14:06:59 GMT",
<http://web.archive.org/web/20210331040112/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:01:12 GMT",
<http://web.archive.org/web/20210416005253/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:53 GMT",
<http://web.archive.org/web/20210417092610/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 09:26:10 GMT",
<http://web.archive.org/web/20210505225207/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 05 May 2021 22:52:07 GMT",
<http://web.archive.org/web/20211017041251/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 04:12:51 GMT",
<http://web.archive.org/web/20211017170133/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sun, 17 Oct 2021 17:01:33 GMT",
<http://web.archive.org/web/20211019025117/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 02:51:17 GMT",
<http://web.archive.org/web/20211019191539/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Tue, 19 Oct 2021 19:15:39 GMT",
<http://web.archive.org/web/20211030221449/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sat, 30 Oct 2021 22:14:49 GMT",
<http://web.archive.org/web/20211231032355/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Fri, 31 Dec 2021 03:23:55 GMT",
<http://web.archive.org/web/20220216094720/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Wed, 16 Feb 2022 09:47:20 GMT",
<http://web.archive.org/web/20220313082932/https://secure.winred.com/bognet-for-congress/donate>; rel="memento"; datetime="Sun, 13 Mar 2022 08:29:32 GMT",
