<https://secure.winred.com/DanMeuser/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/DanMeuser/donate>; rel="self"; type="application/link-format"; from="Sun, 23 Feb 2020 05:12:47 GMT",
<http://web.archive.org/web/https://secure.winred.com/DanMeuser/donate>; rel="timegate",
<http://web.archive.org/web/20200223051247/https://secure.winred.com/DanMeuser/donate>; rel="first memento"; datetime="Sun, 23 Feb 2020 05:12:47 GMT",
<http://web.archive.org/web/20200506144836/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Wed, 06 May 2020 14:48:36 GMT",
<http://web.archive.org/web/20200530103232/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Sat, 30 May 2020 10:32:32 GMT",
<http://web.archive.org/web/20200812070408/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Wed, 12 Aug 2020 07:04:08 GMT",
<http://web.archive.org/web/20200817051627/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 05:16:27 GMT",
<http://web.archive.org/web/20201001085638/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Thu, 01 Oct 2020 08:56:38 GMT",
<http://web.archive.org/web/20201005102244/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 10:22:44 GMT",
<http://web.archive.org/web/20201030080640/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Fri, 30 Oct 2020 08:06:40 GMT",
<http://web.archive.org/web/20201103104248/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Tue, 03 Nov 2020 10:42:48 GMT",
<http://web.archive.org/web/20201106072728/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:27:28 GMT",
<http://web.archive.org/web/20201106122933/https://secure.winred.com/danmeuser/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:29:33 GMT",
<http://web.archive.org/web/20201109185911/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 18:59:11 GMT",
<http://web.archive.org/web/20201109190117/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 19:01:17 GMT",
<http://web.archive.org/web/20201117214515/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 21:45:15 GMT",
<http://web.archive.org/web/20201117215157/https://secure.winred.com/danmeuser/donate>; rel="memento"; datetime="Tue, 17 Nov 2020 21:51:57 GMT",
<http://web.archive.org/web/20201201055109/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Tue, 01 Dec 2020 05:51:09 GMT",
<http://web.archive.org/web/20201213082438/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:24:38 GMT",
<http://web.archive.org/web/20210120195427/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Wed, 20 Jan 2021 19:54:27 GMT",
<http://web.archive.org/web/20210225081247/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Thu, 25 Feb 2021 08:12:47 GMT",
<http://web.archive.org/web/20210307003754/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Sun, 07 Mar 2021 00:37:54 GMT",
<http://web.archive.org/web/20210331040217/https://secure.winred.com/danmeuser/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:02:17 GMT",
<http://web.archive.org/web/20210423085117/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Fri, 23 Apr 2021 08:51:17 GMT",
<http://web.archive.org/web/20210508205356/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Sat, 08 May 2021 20:53:56 GMT",
<http://web.archive.org/web/20210518082637/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Tue, 18 May 2021 08:26:37 GMT",
<http://web.archive.org/web/20211020192825/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Wed, 20 Oct 2021 19:28:25 GMT",
<http://web.archive.org/web/20211021101412/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Thu, 21 Oct 2021 10:14:12 GMT",
<http://web.archive.org/web/20211022120321/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Fri, 22 Oct 2021 12:03:21 GMT",
<http://web.archive.org/web/20211024073257/https://secure.winred.com/DanMeuser/donate>; rel="memento"; datetime="Sun, 24 Oct 2021 07:32:57 GMT",
