<https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="self"; type="application/link-format"; from="Sat, 29 Feb 2020 16:29:12 GMT",
<http://web.archive.org/web/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="timegate",
<http://web.archive.org/web/20200229162912/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="first memento"; datetime="Sat, 29 Feb 2020 16:29:12 GMT",
<http://web.archive.org/web/20200807052913/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Fri, 07 Aug 2020 05:29:13 GMT",
<http://web.archive.org/web/20200811105611/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Tue, 11 Aug 2020 10:56:11 GMT",
<http://web.archive.org/web/20200817051801/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Mon, 17 Aug 2020 05:18:01 GMT",
<http://web.archive.org/web/20200928064448/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Mon, 28 Sep 2020 06:44:48 GMT",
<http://web.archive.org/web/20201007091241/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Wed, 07 Oct 2020 09:12:41 GMT",
<http://web.archive.org/web/20201024001509/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sat, 24 Oct 2020 00:15:09 GMT",
<http://web.archive.org/web/20201101031845/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 01 Nov 2020 03:18:45 GMT",
<http://web.archive.org/web/20201101075516/http://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 01 Nov 2020 07:55:16 GMT",
<http://web.archive.org/web/20201101143503/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 01 Nov 2020 14:35:03 GMT",
<http://web.archive.org/web/20201109190127/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Mon, 09 Nov 2020 19:01:27 GMT",
<http://web.archive.org/web/20201122035401/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 22 Nov 2020 03:54:01 GMT",
<http://web.archive.org/web/20201122035547/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 22 Nov 2020 03:55:47 GMT",
<http://web.archive.org/web/20201122035603/http://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 22 Nov 2020 03:56:03 GMT",
<http://web.archive.org/web/20201122035604/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 22 Nov 2020 03:56:04 GMT",
<http://web.archive.org/web/20201122040039/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sun, 22 Nov 2020 04:00:39 GMT",
<http://web.archive.org/web/20201212122729/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Sat, 12 Dec 2020 12:27:29 GMT",
<http://web.archive.org/web/20220315081125/https://secure.actblue.com/donate/todd-rowley-for-congress>; rel="memento"; datetime="Tue, 15 Mar 2022 08:11:25 GMT",
