<https://secure.winred.com/GlennThompson/donate>; rel="original",
<http://web.archive.org/web/timemap/link/https://secure.winred.com/GlennThompson/donate>; rel="self"; type="application/link-format"; from="Mon, 14 Oct 2019 02:47:16 GMT",
<http://web.archive.org/web/https://secure.winred.com/GlennThompson/donate>; rel="timegate",
<http://web.archive.org/web/20191014024716/https://secure.winred.com/GlennThompson/donate>; rel="first memento"; datetime="Mon, 14 Oct 2019 02:47:16 GMT",
<http://web.archive.org/web/20191014024817/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 14 Oct 2019 02:48:17 GMT",
<http://web.archive.org/web/20191220014530/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Fri, 20 Dec 2019 01:45:30 GMT",
<http://web.archive.org/web/20200530054341/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Sat, 30 May 2020 05:43:41 GMT",
<http://web.archive.org/web/20200531081851/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Sun, 31 May 2020 08:18:51 GMT",
<http://web.archive.org/web/20200807100550/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Fri, 07 Aug 2020 10:05:50 GMT",
<http://web.archive.org/web/20200817051838/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 17 Aug 2020 05:18:38 GMT",
<http://web.archive.org/web/20200924215140/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Thu, 24 Sep 2020 21:51:40 GMT",
<http://web.archive.org/web/20201005102747/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 05 Oct 2020 10:27:47 GMT",
<http://web.archive.org/web/20201021135700/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Wed, 21 Oct 2020 13:57:00 GMT",
<http://web.archive.org/web/20201106072727/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 07:27:27 GMT",
<http://web.archive.org/web/20201106122930/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Fri, 06 Nov 2020 12:29:30 GMT",
<http://web.archive.org/web/20201109092239/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 09:22:39 GMT",
<http://web.archive.org/web/20201109092320/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Mon, 09 Nov 2020 09:23:20 GMT",
<http://web.archive.org/web/20201115071344/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 07:13:44 GMT",
<http://web.archive.org/web/20201115080619/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Sun, 15 Nov 2020 08:06:19 GMT",
<http://web.archive.org/web/20201125114822/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Wed, 25 Nov 2020 11:48:22 GMT",
<http://web.archive.org/web/20201213083330/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Sun, 13 Dec 2020 08:33:30 GMT",
<http://web.archive.org/web/20210125111920/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 25 Jan 2021 11:19:20 GMT",
<http://web.archive.org/web/20210302175229/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Tue, 02 Mar 2021 17:52:29 GMT",
<http://web.archive.org/web/20210331040227/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Wed, 31 Mar 2021 04:02:27 GMT",
<http://web.archive.org/web/20210416005244/https://secure.winred.com/glennthompson/donate>; rel="memento"; datetime="Fri, 16 Apr 2021 00:52:44 GMT",
<http://web.archive.org/web/20210417091455/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Sat, 17 Apr 2021 09:14:55 GMT",
<http://web.archive.org/web/20210508201321/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Sat, 08 May 2021 20:13:21 GMT",
<http://web.archive.org/web/20210508203853/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Sat, 08 May 2021 20:38:53 GMT",
<http://web.archive.org/web/20210614184251/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 14 Jun 2021 18:42:51 GMT",
<http://web.archive.org/web/20220110020508/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Mon, 10 Jan 2022 02:05:08 GMT",
<http://web.archive.org/web/20220118205758/https://secure.winred.com/GlennThompson/donate>; rel="memento"; datetime="Tue, 18 Jan 2022 20:57:58 GMT",
