<http://www.mikekellyforcongress.com/contribute/>; rel="original",
<http://web.archive.org/web/timemap/link/https://www.mikekellyforcongress.com/contribute/>; rel="self"; type="application/link-format"; from="Fri, 30 Jul 2010 04:28:48 GMT",
<http://web.archive.org/web/https://www.mikekellyforcongress.com/contribute/>; rel="timegate",
<http://web.archive.org/web/20100730042848/http://www.mikekellyforcongress.com/contribute/>; rel="first memento"; datetime="Fri, 30 Jul 2010 04:28:48 GMT",
<http://web.archive.org/web/20100730042848/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Fri, 30 Jul 2010 04:28:48 GMT",
<http://web.archive.org/web/20100730043001/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Fri, 30 Jul 2010 04:30:01 GMT",
<http://web.archive.org/web/20100730043001/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Fri, 30 Jul 2010 04:30:01 GMT",
<http://web.archive.org/web/20100805214352/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 05 Aug 2010 21:43:52 GMT",
<http://web.archive.org/web/20100805214352/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 05 Aug 2010 21:43:52 GMT",
<http://web.archive.org/web/20100805214526/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 05 Aug 2010 21:45:26 GMT",
<http://web.archive.org/web/20100805214526/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 05 Aug 2010 21:45:26 GMT",
<http://web.archive.org/web/20100812170026/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 12 Aug 2010 17:00:26 GMT",
<http://web.archive.org/web/20100812170026/http://www.mikekellyforcongress.com/contribute/>; rel="memento"; datetime="Thu, 12 Aug 2010 17:00:26 GMT",
<http://web.archive.org/web/20100812170143/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 12 Aug 2010 17:01:43 GMT",
<http://web.archive.org/web/20100812170143/http://www.mikekellyforcongress.com/contribute>; rel="memento"; datetime="Thu, 12 Aug 2010 17:01:43 GMT",
